id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExpandedExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v396-anatomy-bacagin-anterior-kompartmani,Bacağın anterior kompartmanı,"[""Bacağın anterior kompartmanı"", ""anterior leg compartment"", ""anterior crural compartment""]",Anatomi / kompartman,Alt ekstremite kas grubu,P2,Tibia önünde yer alan ve ayak bileği dorsifleksiyonu ile parmak ekstansiyonunu sağlayan kas kompartmanıdır.,Bu kompartmanın motor innervasyonu derin fibular sinirdir; kompartman sendromu ve fibular sinir lezyonlarında dorsifleksiyon kaybı gelişir.,Dorsifleksiyon kaybı anterior kompartman + derin fibular sinir ilişkisini düşündürür.,"Lateral kompartman eversiyon, posterior kompartman plantar fleksiyonla ilişkilidir.","[""Derin fibular sinir"", ""Düşük ayak"", ""Dorsifleksiyon""]",0,[]
v396-anatomy-bacagin-lateral-kompartmani,Bacağın lateral kompartmanı,"[""Bacağın lateral kompartmanı"", ""lateral leg compartment"", ""fibularis kompartmanı""]",Anatomi / kompartman,Alt ekstremite kas grubu,P2,"Fibularis longus ve brevis kaslarını içeren, ayak eversiyonu ile ilişkili bacak kompartmanıdır.",Lateral kompartman yüzeyel fibular sinirle innerve edilir; eversiyon zayıflığı ve ayak dorsumu duyusu birlikte değerlendirilebilir.,Eversiyon kaybı yüzeyel fibular sinir ve lateral kompartman bilgisini gerektirir.,Anterior kompartman dorsifleksiyon; posterior kompartman plantar fleksiyon ile ayrılır.,"[""Yüzeyel fibular sinir"", ""Eversiyon"", ""Common fibular sinir""]",0,[]
v396-anatomy-tibial-sinir,Tibial sinir,"[""Tibial sinir"", ""tibial nerve"", ""nervus tibialis""]",Anatomi / periferik sinir,Alt ekstremite siniri,P1,Siyatik sinirin medial terminal dalıdır; posterior bacak kompartmanı ve ayak tabanı duyusuyla ilişkilidir.,"Tibial sinir plantar fleksiyon, parmak fleksiyonu ve plantar duyu için önemlidir; tarsal tünelde sıkışabilir.",Plantar fleksiyon/taban duyusu tibial sinir; düşük ayak ise fibular sinir lehinedir.,Common fibular sinir dorsifleksiyon ve ayak dorsumu duyusuyla ayrılır.,"[""Tarsal tünel"", ""Medial plantar sinir"", ""Lateral plantar sinir""]",31,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] diagnosis.options[2]: Nervus tibialis""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] diagnosis.explanation: Nervus fibularis communis fibula boynu çevresinde yüzeyel seyrettiği için dış yan diz travmalarında yaralanmaya açıktır. Ana gövde etkilenirse derin dalın dorsifleksiyon/birinci web aralığı fonksiyonu ve yüzeyel dalın eversiyon/ayak sırtı duyusu birlikte bozulabilir. Plantar fleksiyon ile aşil refleksinin korunması tibial sin…""}]"
v396-anatomy-tarsal-tunel,Tarsal tünel,"[""Tarsal tünel"", ""tarsal tunnel"", ""ayak bileği tarsal tüneli""]",Anatomi / kanal,Alt ekstremite sinir geçişi,P1,Medial malleol posteriorunda fleksör retinakulum altında tibial sinirin geçtiği anatomik tüneldir.,Tarsal tünel sendromunda tibial sinir sıkışması ayak tabanında yanma/uyuşma oluşturabilir; karpal tünelin ayak bileği analoğu gibi düşünülebilir.,Medial malleol arkası + taban parestezisi = tarsal tünel/tibial sinir.,Karpal tünel median sinir; tarsal tünel tibial sinir ile ilişkilidir.,"[""Tibial sinir"", ""Fleksör retinakulum"", ""Medial plantar sinir""]",13,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-003-spot] differentialNote: Tibial sinir plantar fleksiyon, taban duyusu ve tarsal tünel ile ilişkilidir; düşük ayak daha çok fibular sinir hasarıdır.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-129-spot] topic: Tarsal tünel sendromu""}]"
v396-anatomy-fleksor-retinakulum,Fleksör retinakulum,"[""Fleksör retinakulum"", ""flexor retinaculum"", ""retinaculum flexorum""]",Anatomi / bağ yapısı,Tünel tavanı,P2,Tendon ve sinirlerin bilek/ayak bileği düzeyinde geçişini sabitleyen kalın bağ dokusu bandıdır.,"El bileğinde karpal tünel tavanını, ayak bileğinde tarsal tünel tavanını oluşturur; altında geçen sinirlerin sıkışması klinik sendrom yapabilir.","Karpal tünelde median sinir, tarsal tünelde tibial sinir fleksör retinakulum altında sıkışabilir.",Ekstansör retinakulum dorsal tendonları sabitler; fleksör retinakulum palmar/plantar geçişlerle ilişkilidir.,"[""Karpal tünel"", ""Tarsal tünel"", ""Median sinir"", ""Tibial sinir""]",33,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v173-new-089-gece-artan-el-uyusmasi] diagnosis.answerFeedback.clinicalPearls[0].text: Nervus medianus karpal tünelde fleksör tendonlarla birlikte seyreder; palmar kutanöz dalı ise tünelden önce ayrılıp fleksör retinakulumun yüzeyelinden geçer. Bu nedenle karpal tünel basısında dijital duyu ve tenar motor bulgular belirginleşirken tenar avuç içi duyusu korunabilir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v173-new-089-gece-artan-el-uyusmasi] diagnosis.answerFeedback.coreKnowledge: Nervus medianus karpal tünelde fleksör tendonlarla birlikte seyreder; palmar kutanöz dalı ise tünelden önce ayrılıp fleksör retinakulumun yüzeyelinden geçer. Bu nedenle karpal tünel basısında dijital duyu ve tenar motor bulgular belirginleşirken tenar avuç içi duyusu korunabilir.""}]"
v396-anatomy-medial-plantar-sinir,Medial plantar sinir,"[""Medial plantar sinir"", ""medial plantar nerve""]",Anatomi / periferik sinir,Ayak tabanı siniri,P2,Tibial sinirin ayak tabanındaki medial terminal dalıdır; medial plantar duyu ve bazı intrinsik kaslarla ilişkilidir.,"Medial plantar sinir, eldeki median sinire benzer şekilde ayak tabanının medial kısmı ve halluks hareketleriyle klinik önem taşır.",Tibial sinir tarsal tünel sonrası medial ve lateral plantar dallara ayrılır.,Lateral plantar sinir daha çok lateral taban ve birçok intrinsik kasla ilişkilidir.,"[""Tibial sinir"", ""Tarsal tünel"", ""Lateral plantar sinir""]",1,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-129-extra] keywords[0]: medial plantar sinir""}]"
v396-anatomy-lateral-plantar-sinir,Lateral plantar sinir,"[""Lateral plantar sinir"", ""lateral plantar nerve""]",Anatomi / periferik sinir,Ayak tabanı siniri,P2,Tibial sinirin ayak tabanındaki lateral terminal dalıdır; lateral plantar duyu ve birçok intrinsik ayak kasıyla ilişkilidir.,Lateral plantar sinir ayak intrinsik kaslarının önemli kısmını innerve eder; eldeki ulnar sinirle fonksiyonel benzerlik kurulabilir.,Ayak tabanı intrinsik kasları sorusunda lateral plantar sinir akılda tutulur.,Medial plantar sinir medial taban ve halluks çevresiyle daha ilişkilidir.,"[""Tibial sinir"", ""Tarsal tünel"", ""Medial plantar sinir""]",3,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-129-extra] keywords[1]: lateral plantar sinir""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-129-extra] back: Medial ve lateral plantar sinirler.""}]"
v396-anatomy-rekurren-motor-dal,Rekürren motor dal,"[""Rekürren motor dal"", ""median sinirin rekürren motor dalı"", ""recurrent motor branch of median nerve"", ""thenar motor dal""]",Anatomi / periferik sinir,Median sinir dalı,P1,Median sinirin thenar kaslara motor lif taşıyan palmar dalıdır.,Karpal tünel veya avuç içi kesilerinde etkilenirse başparmak opozisyonu ve thenar motor fonksiyon bozulabilir; duyu bulgusu eşlik etmeyebilir.,Başparmak opozisyon kaybı median sinirin rekürren motor dalı ile ilişkilidir.,Palmar kutanöz dal karpal tünele girmeden ayrılır ve thenar derisinin duyusunu taşıyabilir.,"[""Median sinir"", ""Thenar kaslar"", ""Başparmak opozisyonu"", ""Karpal tünel""]",0,[]
v396-anatomy-palmar-kutanoz-dal,Palmar kutanöz dal,"[""Palmar kutanöz dal"", ""median sinirin palmar kutanöz dalı"", ""palmar cutaneous branch of median nerve""]",Anatomi / periferik sinir,Median sinir duyu dalı,P1,Median sinirin karpal tünele girmeden önce ayrılan ve thenar avuç derisinin duyusunu taşıyan dalıdır.,Karpal tünel sendromunda palmar kutanöz dal genellikle tünel dışında kaldığı için thenar eminens duyusu korunabilir; bu ayırıcı lokalizasyon sağlar.,Thenar deri duyusu korunmuşsa karpal tünel düzeyi; bozulmuşsa daha proksimal median sinir lezyonu düşünülür.,"Rekürren motor dal thenar motor fonksiyon, palmar kutanöz dal duyu ile ilişkilidir.","[""Median sinir"", ""Karpal tünel"", ""Thenar kaslar""]",87,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v173-new-089-gece-artan-el-uyusmasi] learningTarget: Karpal tünel düzeyindeki sinir basısını dijital duyu alanı, tenar motor fonksiyon ve palmar kutanöz dal ayrımıyla çözebilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v173-new-089-gece-artan-el-uyusmasi] investigations[0].postAnswerExplanation: Cevap sonrası değerlendirmede bu patern, karpal tünelde sıkışan ana sinir ile tünel dışından geçen palmar kutanöz dal ayrımını öğretir.""}]"
v396-anatomy-thenar-kaslar,Thenar kaslar,"[""Thenar kaslar"", ""thenar eminens kasları"", ""thenar muscles""]",Anatomi / kas grubu,El intrinsik kasları,P1,"Başparmak tabanındaki abdüksiyon, fleksiyon ve opozisyon hareketlerine katkı veren kas grubudur.",Thenar kasların çoğu median sinirin rekürren motor dalıyla innerve edilir; karpal tünel veya median sinir lezyonunda thenar atrofi ve opozisyon kaybı gelişir.,Thenar atrofi + opozisyon kaybı median sinir lezyonunu destekler.,Hipotenar ve interosseöz kaslar daha çok ulnar sinirle ilişkilidir.,"[""Median sinir"", ""Rekürren motor dal"", ""Başparmak opozisyonu""]",1,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-189-spot] explanation: Median sinir fleksör tendonlarla birlikte karpal tünelden geçer. Bası, lateral 3,5 parmakta parestezi ve thenar kaslarda zayıflık yapabilir; palmar kutanöz dal tünelden geçmediği için avuç içi duyusu görece korunabilir.""}]"
v396-anatomy-adductor-pollicis,Adductor pollicis,"[""Adductor pollicis"", ""m. adductor pollicis"", ""başparmak adduktor kası""]",Anatomi / kas,Ulnar sinir kası,P1,Başparmağı avuç içine doğru adduksiyona getiren derin intrinsik el kasıdır.,Adductor pollicis ulnar sinirin derin dalıyla innerve edilir; Froment belirtisinde zayıflığı başparmak fleksiyonu ile telafi edilir.,Froment belirtisinin mekanizması adductor pollicis zayıflığıdır.,Thenar opponens pollicis median sinir; adductor pollicis ulnar sinirle ayrılır.,"[""Ulnar sinir"", ""Froment belirtisi"", ""Interosseöz kaslar""]",4,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-001-extra] keywords[1]: adductor pollicis""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-001-extra] back: Adductor pollicis zayıflığına bağlı ulnar sinir lezyonu.""}]"
v396-anatomy-nterosseoz-kaslar,Interosseöz kaslar,"[""Interosseöz kaslar"", ""dorsal interossei"", ""palmar interossei"", ""interosseous muscles""]",Anatomi / kas grubu,El intrinsik kasları,P1,Metakarp kemikleri arasında yer alan ve parmak abduksiyon/adduksiyonunu sağlayan kas grubudur.,Interosseöz kaslar ulnar sinirin derin dalıyla innerve edilir; ulnar lezyonda parmakları açıp kapatma zayıflar ve pençe el görülebilir.,Parmak abduksiyon/adduksiyon testi ulnar sinir için değerlidir.,"Lumbrikallerin lateral ikisi median, medial ikisi ulnar sinirle ilişkilidir.","[""Ulnar sinir"", ""Adductor pollicis"", ""Pençe el""]",14,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v173-new-089-gece-artan-el-uyusmasi] diagnosis.optionComparison.Nervus ulnaris: Nervus ulnaris beşinci parmak, yüzük parmağının ulnar yarısı ve interosseöz kaslarla ilişkilidir. Küçük parmakta baskın duyu kaybı ya da parmak abdüksiyon-adduksiyon zayıflığı olmaması ulnar sinir basısını geri plana iter.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v173-new-089-gece-artan-el-uyusmasi] diagnosis.answerFeedback.optionComparison.Nervus ulnaris: Nervus ulnaris beşinci parmak, yüzük parmağının ulnar yarısı ve interosseöz kaslarla ilişkilidir. Küçük parmakta baskın duyu kaybı ya da parmak abdüksiyon-adduksiyon zayıflığı olmaması ulnar sinir basısını geri plana iter.""}]"
