id,term,aliases,category,subcategory,priority,occurrenceCount,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,sourceTextExamples
v403-internal-medicine-atrial-fibrilasyonda-hiz-kontrolu,Atrial fibrilasyonda hız kontrolü,"[""Atrial fibrilasyonda hız kontrolü""]",İç Hastalıkları,Kardiyoloji / Aritmi yönetimi,P1,0,AF’de ritmi sinüse çevirmeden ventrikül yanıt hızını yavaşlatma stratejisidir.,"Beta bloker, nondihidropiridin kalsiyum kanal blokerleri veya seçilmiş hastada digoksin kullanılarak semptom ve taşikardiye bağlı hemodinamik yük azaltılır. Hemodinamik instabilite varsa elektif hız kontrolü değil acil kardiyoversiyon düşünülür.",Stabil AF’de hız kontrolü; instabil AF’de senkronize kardiyoversiyon önceliklidir.,Ritim kontrolü sinüs ritmini geri kazanmayı hedefler; hız kontrolü ventrikül hızını yönetir.,"[""Atriyal fibrilasyon"", ""Senkronize kardiyoversiyon"", ""Beta bloker""]","[{""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-378-spot.topic"", ""text"": ""Atriyal fibrilasyonda inme riski""}, {""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-378-spot.keywords[0]"", ""text"": ""atriyal fibrilasyon""}]"
v403-internal-medicine-atrial-fibrilasyonda-ritim-kontrolu,Atrial fibrilasyonda ritim kontrolü,"[""Atrial fibrilasyonda ritim kontrolü""]",İç Hastalıkları,Kardiyoloji / Aritmi yönetimi,P1,0,AF’de sinüs ritmini geri kazanmayı veya sürdürmeyi hedefleyen yaklaşımdır.,"Kardiyoversiyon veya antiaritmiklerle uygulanabilir; tromboemboli riski süre, antikoagülasyon durumu ve yapısal kalp hastalığına göre değerlendirilir. Sınavda en kritik ayrım stabil/instabil hasta ve AF süresidir.",AF’de ritim kontrolü düşünmeden önce hemodinami ve tromboemboli riski sorulur.,Hız kontrolü sadece ventrikül hızını azaltır; ritim kontrolü sinüs ritmini hedefler.,"[""Atriyal fibrilasyon"", ""Kardiyoversiyon"", ""Antikoagülasyon kararı""]","[{""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-378-spot.topic"", ""text"": ""Atriyal fibrilasyonda inme riski""}, {""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-378-spot.keywords[0]"", ""text"": ""atriyal fibrilasyon""}]"
v403-internal-medicine-mitral-yetersizligi,Mitral yetersizliği,"[""Mitral yetersizliği""]",İç Hastalıkları,Kardiyoloji / Kapak hastalığı,P1,0,Sistolde kanın sol ventrikülden sol atriyuma geri kaçmasıdır.,Kronik tabloda sol atriyal genişleme ve pulmoner konjesyon gelişebilir; akut yetersizlikte ani pulmoner ödem ve şok görülebilir. Apeksde holosistolik üfürüm ve aksillaya yayılım klasik ipucudur.,"Apekste holosistolik, aksillaya yayılan üfürüm mitral yetersizliği lehinedir.",Mitral darlık diyastolik rulmanla; mitral yetersizlik holosistolik üfürümle sorulur.,"[""Pulmoner ödem"", ""Sol atriyum"", ""Holosistolik üfürüm""]","[{""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.investigations[3].result.values[1][3]"", ""text"": ""Belirgin pulmoner ödem yok""}, {""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.investigations[3].result.rows[1][3]"", ""text"": ""Belirgin pulmoner ödem yok""}]"
v403-internal-medicine-feurea,FeUrea,"[""fraksiyonel üre atılımı""]",İç Hastalıkları,Nefroloji / Laboratuvar,P1,0,Fraksiyonel üre atılımı; özellikle diüretik kullanan AKI hastasında prerenal-intrinsik ayrımda kullanılan parametredir.,Diüretikler sodyum atılımını değiştirerek FeNa yorumunu bozabilir; üre geri emilimi farklı düzenlendiği için FeUrea bazı durumlarda daha güvenilir olabilir. Düşük FeUrea prerenal yanıtı destekler.,Diüretik kullanımı varsa FeNa yerine FeUrea daha öğretici olabilir.,"FeNa sodyum temelli, FeUrea üre temelli fraksiyonel atılım ölçümüdür.","[""FeNa"", ""Prerenal azotemi"", ""Akut böbrek hasarı""]","[{""sourceFilePath"": ""src/data/cases.js::v166-new-033-hiperglisemik-acil-tablo.investigations[3].summary"", ""text"": ""Sodyum düşüklüğü, potasyumun başlangıç değeri ve prerenal azotemi, metabolik tedavinin güvenli planlanması için birlikte izlenir.""}, {""sourceFilePath"": ""src/data/cases.js::v166-new-033-hiperglisemik-acil-tablo.investigations[3].clinicalMeaning"", ""text"": ""Sodyum düşüklüğü, potasyumun başlangıç değeri ve prerenal azotemi, metabolik tedavinin güvenli planlanması için birlikte izlenir.""}]"
v403-internal-medicine-idrar-ozmolalitesi,İdrar ozmolalitesi,"[""İdrar ozmolalitesi""]",İç Hastalıkları,Nefroloji / Sıvı-elektrolit,P1,8,Böbreğin idrarı ne kadar konsantre veya seyreltik çıkarabildiğini gösteren ölçümdür.,"Hiponatremide düşük idrar ozmolalitesi ADH baskılanmasını, yüksek idrar ozmolalitesi ise ADH etkisinin sürdüğünü düşündürür. SIADH, hipovolemi ve adrenal yetmezlik ayrımında serum ozmolalitesi ve idrar sodyumuyla birlikte yorumlanır.",Hiponatremide idrar hâlâ konsantreyse ADH etkisi sürüyor demektir.,Primer polidipside idrar genellikle çok seyrektir; SIADH’de idrar uygunsuz konsantredir.,"[""SIADH"", ""Serum ozmolalitesi"", ""İdrar sodyumu""]","[{""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-065-spot.keywords[2]"", ""text"": ""idrar ozmolalitesi""}, {""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-065-spot.front"", ""text"": ""Övolemik hiponatremi, düşük serum ozmolalitesi, yüksek idrar ozmolalitesi ve yüksek idrar sodyumu hangi tanıyı destekler?""}]"
v403-internal-medicine-hipovolemik-hiponatremi,Hipovolemik hiponatremi,"[""Hipovolemik hiponatremi""]",İç Hastalıkları,Nefroloji / Sıvı-elektrolit,P1,4,Sodyum ve su kaybı olup su kaybına rağmen ADH etkisiyle serum sodyumunun düştüğü tablodur.,"Kusma, ishal, diüretik veya kanama sonrası efektif hacim azalır; ADH su tutarak hiponatremiyi derinleştirir. Klinik hacim kaybı bulguları ve idrar sodyumu ayrımda kullanılır.",Hiponatremi + hipotansiyon/ortostaz + hacim kaybı hipovolemik patern lehinedir.,SIADH’de hasta genellikle övolemiktir; hipovolemik hiponatremide hacim kaybı bulguları vardır.,"[""ADH"", ""İdrar sodyumu"", ""Serum ozmolalitesi""]","[{""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-065-spot.differentialNote"", ""text"": ""Hipovolemik hiponatremide genellikle klinik hacim kaybı vardır; primer polidipside idrar ozmolalitesi baskılanmış olarak düşük beklenir.""}, {""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-364-extra.differentialNote"", ""text"": ""Hipovolemik hiponatremide ADH yüksek olabilir ama idrar sodyumu çoğu kez düşük olur; diüretik kullanımı bu ayrımı bozabilir.""}]"
v403-internal-medicine-hipervolemik-hiponatremi,Hipervolemik hiponatremi,"[""Hipervolemik hiponatremi""]",İç Hastalıkları,Nefroloji / Sıvı-elektrolit,P1,0,Toplam vücut sodyumu artsa da su tutulumunun daha baskın olduğu ödemli hiponatremi tablosudur.,"Kalp yetmezliği, siroz ve nefrotik sendromda efektif arteriyel hacim düşük algılanır; RAAS ve ADH aktivasyonu su tutulumunu artırır. Klinik olarak ödem/asit ve hiponatremi birlikteliği öğreticidir.",Ödemli hasta + hiponatremi = efektif dolaşım hacmi azalması üzerinden ADH aktivasyonu düşün.,SIADH’de belirgin ödem beklenmez; hipervolemik hiponatremide ödem/asit vardır.,"[""Siroz"", ""Kalp yetmezliği"", ""Nefrotik sendrom""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-024-ates-ve-yeni-ufurum.exam[2]"", ""text"": ""Akciğerlerde bilateral dağınık raller vardır; periferik ödem veya belirgin sol kalp yetmezliği bulgusu saptanmaz.""}, {""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.investigations[0].summary"", ""text"": ""Hipotansiyon, yüksek venöz basınç ve akciğerde konjesyon olmaması sol kalp yetmezliğinden çok sağ kalp doluş problemine işaret eden hemodinamik paterndir.""}]"
v403-internal-medicine-ozmotik-demiyelinizasyon-sendromu,Ozmotik demiyelinizasyon sendromu,"[""Ozmotik demiyelinizasyon sendromu""]",İç Hastalıkları,Nefroloji / Tedavi komplikasyonu,P0,0,Kronik hiponatreminin aşırı hızlı düzeltilmesiyle gelişebilen ağır nörolojik demiyelinizasyon tablosudur.,Beyin kronik hiponatremiye osmolit kaybederek adapte olur; sodyum hızlı yükseltilirse hücre dışı osmolalite artışı nöronal hasar oluşturabilir. Bu nedenle tedavide hedef tüm sodyumu hızla normale getirmek değil güvenli düzeltme hızıdır.,Kronik hiponatremide hızlı düzeltme en tehlikeli hatadır.,Akut ağır semptomatik hiponatremide başlangıçta sınırlı yükseltme gerekir; kronik tabloda aşırı düzeltmeden kaçınılır.,"[""Hipertonik salin"", ""Hiponatremi"", ""Serum sodyumu""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-030-hipotansiyon-ve-elektrolit-bozuklugu.investigations[1].summary"", ""text"": ""Hiponatremi, hiperkalemi ve düşük glukoz birlikteliği primer adrenal yetmezlik zemininde kriz paternini destekler.""}, {""sourceFilePath"": ""src/data/cases.js::v165-new-030-hipotansiyon-ve-elektrolit-bozuklugu.investigations[1].clinicalMeaning"", ""text"": ""Hiponatremi, hiperkalemi ve düşük glukoz birlikteliği primer adrenal yetmezlik zemininde kriz paternini destekler.""}]"
v403-internal-medicine-hipertonik-salin,Hipertonik salin,"[""%3 salin"", ""3% salin""]",İç Hastalıkları,Nefroloji / Acil tedavi,P1,18,Ağır semptomatik hiponatremide serum sodyumunu kontrollü yükseltmek için kullanılan yüksek sodyum içerikli sıvıdır.,"Nöbet, koma veya ağır nörolojik belirti varsa beyin ödemi riskini azaltmak için kontrollü 3% salin verilir. Tedavinin amacı kısa sürede güvenli sınırlı artış sağlamaktır; aşırı düzeltme ozmotik demiyelinizasyon riski taşır.",Nöbetli hiponatremide ilk hedef kontrollü hipertonik salinle nörolojik riski azaltmaktır.,Asemptomatik SIADH’de sıvı kısıtlaması düşünülebilir; nöbet varsa hipertonik salin önceliklidir.,"[""Ozmotik demiyelinizasyon sendromu"", ""Hiponatremi"", ""SIADH""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-030-hipotansiyon-ve-elektrolit-bozuklugu.diagnosis.options[3]"", ""text"": ""Hipertonik salin ve sıvı kısıtlaması uygulamak""}, {""sourceFilePath"": ""src/data/cases.js::v192-new-301-halsizlik-ve-direncli-hipotansiyon.diagnosis.options[1]"", ""text"": ""Hipertonik salin ve sıvı kısıtlaması uygulamak""}]"
v403-internal-medicine-pauci-immun-glomerulonefrit,Pauci-immün glomerülonefrit,"[""Pauci-immün glomerülonefrit""]",İç Hastalıkları,Nefroloji / Vaskülit-nefrit,P1,2,İmmünfloresanda belirgin immün kompleks birikimi olmadan gelişen kresentik glomerülonefrittir.,"Genellikle ANCA ilişkili vaskülitlerle ilişkilidir; hızlı kreatinin artışı, hematüri ve eritrosit silendiri görülebilir. RPGN sorusunda lineer, granüler ve pauci-immün boyanma ayrımı etiyolojiyi belirler.",RPGN + pauci-immün IF = ANCA ilişkili vaskülit düşün.,"Lineer IgG anti-GBM hastalığını, granüler patern immün kompleks hastalığını düşündürür.","[""ANCA ilişkili vaskülit"", ""RPGN"", ""Eritrosit silendiri""]","[{""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-367-extra.explanation"", ""text"": ""Pulmoner-renal sendromun tedavi aciliyeti benzerdir ancak altta yatan mekanizma farklı olabilir. Anti-GBM hastalığında glomerüler bazal membrana karşı antikor ve lineer IgG birikimi beklenir. ANCA vaskülitlerinde immün birikim azdır; nekrotizan pauci-immün glomerülonefrit ve PR3/MPO-ANCA pozitifliği ayırıcıdır.""}, {""sourceFilePath"": ""src/data/tusPearlInternalMedicine*Overrides.js::tus-pearl-internal-medicine-367-extra.explanation"", ""text"": ""Pulmoner-renal sendromun tedavi aciliyeti benzerdir ancak altta yatan mekanizma farklı olabilir. Anti-GBM hastalığında glomerüler bazal membrana karşı antikor ve lineer IgG birikimi beklenir. ANCA vaskülitlerinde immün birikim azdır; nekrotizan pauci-immün glomerülonefrit ve PR3/MPO-ANCA pozitifliği ayırıcıdır.""}]"
