id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v399-biochemistry-galaktoz-1-fosfat,Galaktoz-1-fosfat,"[""Galaktoz-1-fosfat"", ""galactose-1-phosphate"", ""Gal-1-P""]",Tıbbi Biyokimya,Galaktoz metabolizması,P0,Galaktozun hücre içinde fosforillenmiş ve GALT basamağına giren ara metabolitidir.,"Klasik galaktozemide GALT eksikliği nedeniyle galaktoz-1-fosfat birikir; karaciğer toksisitesi, kusma, sarılık ve sepsis yatkınlığı gelişebilir.",Süt sonrası sarılık/kusma + redüktan madde pozitifliği klasik galaktozemi paternidir.,Galaktitol kataraktla ilişkilidir; galaktoz-1-fosfat karaciğer toksisitesinde daha önemlidir.,"[""GALT eksikliği"", ""Klasik galaktozemi"", ""Galaktitol"", ""Redüktan madde""]",125,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v175-new-106-sutle-beslenme-sonrasi-yenidogan-sariligi] investigations[0].summary: Sütle ilişkili yakınmaya eşlik eden galaktoz-1-fosfat ve serbest galaktoz artışı, galaktozun ileri metabolizmasında blok olduğunu gösterir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v175-new-106-sutle-beslenme-sonrasi-yenidogan-sariligi] investigations[0].clinicalMeaning: Sütle ilişkili yakınmaya eşlik eden galaktoz-1-fosfat ve serbest galaktoz artışı, galaktozun ileri metabolizmasında blok olduğunu gösterir.""}]"
v399-biochemistry-glikojenoliz,Glikojenoliz,"[""Glikojenoliz"", ""glycogenolysis"", ""glikojen yıkımı""]",Tıbbi Biyokimya,Glikojen metabolizması,P0,Glikojenin glukoz-1-fosfat ve devamında glukoz-6-fosfata parçalanmasıdır.,Açlıkta özellikle karaciğer glikojeni kan glukozunu korumak için yıkılır. Kas glikojenolizi ise kana glukoz vermekten çok kasın kendi enerji ihtiyacına hizmet eder.,Karaciğer glikojenolizi kan glukozunu korur; kas glikojenolizi kas içi ATP üretimine gider.,Glukoneogenez yeni glukoz yapımıdır; glikojenoliz depolanmış glikojeni parçalar.,"[""Glikojen"", ""Karaciğer glikojeni"", ""Kas glikojeni"", ""Glukoz-6-fosfat""]",146,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] learningTarget: Açlık hipoglisemisi olan bebekte glukoz-6-fosfataz eksikliğine bağlı glikojenoliz/glukoneogenez son basamak blokajını laboratuvar paterniyle tanıma.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] diagnosis.explanation: Açlıkta karaciğer glikojenoliz ve glukoneogenez yoluyla glukoz-6-fosfat üretir; bu ara ürünün serbest glukoza çevrilememesi kana glukoz çıkışını engeller. Bu nedenle ağır açlık hipoglisemisi gelişirken glukoz-6-fosfat türevleri laktat, ürik asit ve trigliserid artışına yönelir; hepatomegali de karaciğerde glikojen/lipid birikimini destekler.""}]"
v399-biochemistry-glukoneogenez,Glukoneogenez,"[""Glukoneogenez"", ""gluconeogenesis"", ""glukoz yeniden yapımı""]",Tıbbi Biyokimya,Karbonhidrat metabolizması,P0,"Laktat, gliserol ve glukojenik aminoasitlerden yeni glukoz sentezlenmesidir.","Uzamış açlıkta karaciğer ve böbrek glukoneogenezi kan glukozunu sürdürür. Piruvat karboksilaz, PEP karboksikinaz, fruktoz-1,6-bisfosfataz ve glukoz-6-fosfataz gibi geri dönüşsüz basamaklar sınavda önemlidir.",Açlıkta glukoneogenez artar; son basamak glukoz-6-fosfatazdır.,Glikojenoliz depo yıkımıdır; glukoneogenez yeni glukoz üretimidir.,"[""Piruvat karboksilaz"", ""Fruktoz-1,6-bisfosfataz"", ""Glukoz-6-fosfataz"", ""Laktat""]",179,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] learningTarget: Açlık hipoglisemisi olan bebekte glukoz-6-fosfataz eksikliğine bağlı glikojenoliz/glukoneogenez son basamak blokajını laboratuvar paterniyle tanıma.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] diagnosis.explanation: Açlıkta karaciğer glikojenoliz ve glukoneogenez yoluyla glukoz-6-fosfat üretir; bu ara ürünün serbest glukoza çevrilememesi kana glukoz çıkışını engeller. Bu nedenle ağır açlık hipoglisemisi gelişirken glukoz-6-fosfat türevleri laktat, ürik asit ve trigliserid artışına yönelir; hepatomegali de karaciğerde glikojen/lipid birikimini destekler.""}]"
v399-biochemistry-glukoneogenez-son-basamagi,Glukoneogenez son basamağı,"[""Glukoneogenez son basamağı"", ""serbest glukoz çıkış basamağı"", ""glukoz-6-fosfattan glukoz çıkışı""]",Tıbbi Biyokimya,Karbonhidrat metabolizması,P0,Glukoz-6-fosfatın serbest glukoza çevrilip kana verildiği son karaciğer/böbrek basamağıdır.,"Bu basamak glukoz-6-fosfataz ile yürür. Blok olduğunda hem glikojenoliz hem glukoneogenez son ürününü kana veremez; ağır açlık hipoglisemisi, laktat ve trigliserid artışı gelişebilir.",Açlık hipoglisemisi + hepatomegali + laktat yüksekliği son çıkış basamağı blokajını düşündürür.,"Fruktoz-1,6-bisfosfataz daha önceki glukoneogenez basamağıdır; glukoz-6-fosfataz son çıkış basamağıdır.","[""Glukoz-6-fosfataz"", ""Von Gierke hastalığı"", ""Açlık hipoglisemisi"", ""Laktik asidoz""]",0,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""Terim, taranan Tıbbi Biyokimya olgu/hap kart konusunun mekanizma veya safeNested açıklama ihtiyacından türetildi; exact cümle eşleşmesi bulunmadı.""}]"
v399-biochemistry-glukoz-6-fosfat,Glukoz-6-fosfat,"[""Glukoz-6-fosfat"", ""G6P"", ""glucose-6-phosphate""]",Tıbbi Biyokimya,Karbonhidrat metabolizması,P0,"Glukozun hücre içinde fosforillenmiş, birçok metabolik yola ayrılabilen ara formudur.","Glukoz-6-fosfat; glikoliz, glikojen sentezi, pentoz fosfat yolu ve karaciğerde serbest glukoz üretimi arasında kavşak noktasıdır. Von Gierke mantığında bu molekülden serbest glukoz çıkışı bozulduğu için açlık hipoglisemisi gelişir.",Glukoz-6-fosfat metabolik kavşaktır; son çıkış basamağı çalışmazsa glukoz kana verilemez.,Glikoz-6-fosfataz eksikliğinde G6P birikir; glikoliz ve laktat/ürik asit artışı bu birikimin yön değiştirmesiyle açıklanır.,"[""Glukoz-6-fosfataz"", ""Glikojenoliz"", ""Glukoneogenez"", ""Pentoz fosfat yolu""]",465,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] learningTarget: Açlık hipoglisemisi olan bebekte glukoz-6-fosfataz eksikliğine bağlı glikojenoliz/glukoneogenez son basamak blokajını laboratuvar paterniyle tanıma.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] diagnosis.correct: Glukoz-6-fosfataz eksikliği""}]"
v399-biochemistry-glutatyon-reduktaz,Glutatyon redüktaz,"[""Glutatyon redüktaz"", ""glutathione reductase""]",Tıbbi Biyokimya,Antioksidan sistem,P0,Okside glutatyonu NADPH kullanarak indirgenmiş glutatyon haline döndüren enzimdir.,Eritrositlerde NADPH-glutatyon redüktaz sistemi H₂O₂ ve oksidan hasara karşı koruma sağlar. G6PD eksikliğinde NADPH azalınca GSH yenilenemez ve hemoliz kolaylaşır.,"NADPH, glutatyon redüktaz üzerinden GSH’ı yeniler.",Glutatyon peroksidaz H₂O₂’yi azaltır; glutatyon redüktaz GSSG’yi tekrar GSH yapar.,"[""NADPH"", ""İndirgenmiş glutatyon"", ""Okside glutatyon"", ""G6PD eksikliği""]",66,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v176-new-118-ilac-sonrasi-koyu-idrar-ve-sarilik] diagnosis.answerFeedback.coreKnowledge: Eritrositte pentoz fosfat yolu NADPH üretiminin ana kaynağıdır; NADPH, glutatyon redüktaz üzerinden indirgenmiş glutatyonu yenileyerek hemoglobini oksidatif hasardan korur.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v176-new-118-ilac-sonrasi-koyu-idrar-ve-sarilik] coreKnowledge: Eritrositte pentoz fosfat yolu NADPH üretiminin ana kaynağıdır; NADPH, glutatyon redüktaz üzerinden indirgenmiş glutatyonu yenileyerek hemoglobini oksidatif hasardan korur.""}]"
v399-biochemistry-hmp-santi,HMP şantı,"[""HMP şantı"", ""heksoz monofosfat şantı"", ""hexose monophosphate shunt""]",Tıbbi Biyokimya,Pentoz fosfat yolu,P0,Glukoz-6-fosfattan NADPH ve riboz-5-fosfat üreten alternatif glukoz yoludur.,Bu yol özellikle eritrositte glutatyonu indirgenmiş halde tutmak için NADPH sağlar. G6PD eksikliğinde oksidatif stres altında hemoliz gelişmesinin nedeni bu koruyucu kapasitenin azalmasıdır.,HMP şantı iki ana ürün verir: NADPH ve riboz-5-fosfat.,Glikoliz ATP üretir; HMP şantı NADPH ve nükleotid sentezi için riboz sağlar.,"[""Pentoz fosfat yolu"", ""NADPH"", ""Riboz-5-fosfat"", ""G6PD eksikliği""]",0,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""Terim, taranan Tıbbi Biyokimya olgu/hap kart konusunun mekanizma veya safeNested açıklama ihtiyacından türetildi; exact cümle eşleşmesi bulunmadı.""}]"
v399-biochemistry-heteroplazmi,Heteroplazmi,"[""Heteroplazmi"", ""heteroplasmy""]",Tıbbi Biyokimya,Mitokondriyal genetik,P0,Aynı hücre veya dokuda normal ve mutant mitokondriyal DNA’nın birlikte bulunmasıdır.,"Heteroplazmi, mitokondriyal hastalıklarda aynı mutasyonun farklı dokularda ve kişilerde değişken şiddet göstermesini açıklar. Klinik eşik aşıldığında enerji yetmezliği belirginleşir.",Mitokondriyal hastalık şiddeti heteroplazmi oranına bağlı değişebilir.,Homoplazmi tek tip mtDNA durumudur; heteroplazmi karışık mtDNA yüküdür.,"[""Mitokondriyal DNA"", ""Maternal kalıtım"", ""Oksidatif fosforilasyon"", ""Eşik etkisi""]",10,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry TUS Pearl Card Mitokondriyal kalıtım] keywords[2]: heteroplazmi""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry TUS Pearl Card Mitokondriyal kalıtım] extraQuestion: Vaka kökünde maternal kalıtım, heteroplazmi ve MELAS birlikte verilirse hangi mekanizma, enzim veya molekül öncelikle düşünülür?""}]"
v399-biochemistry-hiperamonyemi-orotik-asit-artisi,Hiperamonyemi + orotik asit artışı,"[""Hiperamonyemi + orotik asit artışı"", ""hiperammonemi ve orotik asit yüksekliği"", ""amonyak yüksekliği + orotik asit""]",Tıbbi Biyokimya,Metabolik patern,P0,Amonyak yüksekliğine orotik asit artışının eşlik ettiği üre döngüsü/pirimidin bağlantı paternidir.,Bu patern en klasik olarak OTC eksikliğini düşündürür; çünkü karbamoil fosfat üre döngüsünde kullanılamayıp pirimidin sentezine kaçar. Ağır yenidoğan ensefalopatisinde kritik ayırıcıdır.,Hiperamonyemi + orotik asit yüksekliği = OTC eksikliği lehine güçlü patern.,CPS I eksikliğinde hiperamonyemi olur ama orotik asit belirgin artmaz.,"[""OTC eksikliği"", ""Karbamoil fosfat"", ""Orotik asit"", ""Üre döngüsü""]",24,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case ai-spot-vakasiz-secki-083] explanation: Doğru cevap C’dir. Hem OTC eksikliği hem de CPS1 eksikliği hiperamonyemiye yol açabilir; bu nedenle amonyak artışı ayırıcı değildir. OTC eksikliğinde karbamoil fosfat üretimi devam eder ancak ornitinle sitrülin oluşturma basamağı aksar. Biriken karbamoil fosfat sitozolik pirimidin sentezine kaçar ve orotik asit artışına neden olur. CPS1 eksikliğinde ise karbamoil fosfat sentezinin ilk basamağı bozuk olduğu için bu substrat birikimi ve beli…""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case ai-spot-vakasiz-secki-083] evidenceChain[2].text: Hiperamonyemi + orotik asit artışı OTC eksikliğini düşündürür; hiperamonyemi var ama orotik asit artmıyorsa CPS1 veya NAGS eksikliği akla gelmelidir.""}]"
v399-biochemistry-homosistein,Homosistein,"[""Homosistein"", ""homocysteine""]",Tıbbi Biyokimya,Tek karbon / aminoasit metabolizması,P0,Metiyonin metabolizmasında oluşan ve damar toksisitesiyle ilişkili sülfürlü aminoasit ara ürünüdür.,"Homosistein CBS yoluyla sisteine veya B12/folat bağımlı remetilasyonla metiyonine dönebilir. Birikimi tromboz eğilimi, lens bulguları ve vasküler hasar mantığıyla önemlidir.","Homosistein artışı B6, B12, folat veya CBS/MTHFR kusurlarıyla ilişkilendirilebilir.",Metilmalonik asit yalnız B12 eksikliğinde artar; homosistein B12 ve folat eksikliğinde artabilir.,"[""Sistatiyonin beta-sentaz"", ""Metiyonin sentaz"", ""Folat"", ""Vitamin B12""]",342,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v168-new-054-tromboz-egilimi-olan-ergen] learningTarget: Homosistein ve metiyonin birlikte yüksekliğinden transsülfürasyon basamağı blokajını ve CBS eksikliğini çıkarma.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v168-new-054-tromboz-egilimi-olan-ergen] investigations[0].label: Plazma amino asit ve homosistein paneli""}]"
v399-biochemistry-karbamoil-fosfat,Karbamoil fosfat,"[""Karbamoil fosfat"", ""carbamoyl phosphate""]",Tıbbi Biyokimya,Üre döngüsü / pirimidin sentezi,P0,"Amonyak ve bikarbonattan oluşan, üre döngüsü ve pirimidin senteziyle ilişkili yüksek enerjili ara üründür.",Mitokondride CPS I ile üre döngüsüne girer; OTC blokajında birikip sitozole kaçar ve pirimidin sentezini artırarak orotik asit yükseltir.,OTC eksikliğinde karbamoil fosfat pirimidin yoluna kaçar ve orotik asit artar.,CPS I eksikliğinde karbamoil fosfat oluşumu azdır; OTC eksikliğinde birikip orotik aside yönelir.,"[""OTC eksikliği"", ""Orotik asit"", ""Üre döngüsü"", ""Pirimidin sentezi""]",221,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v169-new-069-protein-alimi-sonrasi-ensefalopati] diagnosis.options[0]: Karbamoil fosfat sentetaz I eksikliği""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v169-new-069-protein-alimi-sonrasi-ensefalopati] diagnosis.explanation: Protein alımıyla artan amino azot yükü, üre döngüsü çalışmadığında hızla amonyak birikimine yol açar; düşük BUN amonyağın üreye dönüştürülemediğini gösterir. Düşük sitrülinle birlikte idrar orotik asidinin yüksek olması, mitokondride oluşan karbamoil fosfatın ornitinle birleşemeyip pirimidin sentezine yöneldiğini düşündürür; bu patern ornitin transkarbamilaz eksikliğine uyar.""}]"
v399-biochemistry-karnitin-satili,Karnitin şatılı,"[""Karnitin şatılı"", ""carnitine shuttle"", ""karnitin taşıma sistemi""]",Tıbbi Biyokimya,Lipid metabolizması,P0,"Uzun zincirli yağ asitlerini mitokondri matriksine taşıyan CPT-I, translokaz ve CPT-II sistemidir.","Uzun zincirli açil-CoA iç mitokondri zarını doğrudan geçemez. Karnitin şatılı bu taşıma sorununu çözer; kusurlarında egzersiz/açlıkla kas ağrısı, rabdomiyoliz veya hipoketotik hipoglisemi görülebilir.",Uzun zincirli yağ asitleri mitokondriye karnitin şatılıyla girer.,MCAD kusuru matriks içi oksidasyon basamağıdır; karnitin şatılı uzun zincirli yağ asidi giriş basamağıdır.,"[""CPT I"", ""CPT II"", ""Malonil-CoA"", ""Yağ asidi beta oksidasyonu""]",0,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""Terim, taranan Tıbbi Biyokimya olgu/hap kart konusunun mekanizma veya safeNested açıklama ihtiyacından türetildi; exact cümle eşleşmesi bulunmadı.""}]"
v399-biochemistry-kas-glikojen-fosforilaz,Kas glikojen fosforilaz,"[""Kas glikojen fosforilaz"", ""miyofosforilaz"", ""muscle glycogen phosphorylase"", ""myophosphorylase""]",Tıbbi Biyokimya,Glikojen metabolizması,P0,Kas glikojenini egzersizde yıkıma sokan temel glikojen fosforilaz izoenzimidir.,"Eksikliğinde kas glikojenini yeterince kullanamaz; egzersizle kramp, miyoglobinüri ve laktat artışının beklenmemesi görülebilir. McArdle hastalığının biyokimyasal temelidir.",McArdle’da sorun kas glikojen fosforilazıdır; karaciğer glukoz çıkışı temel problem değildir.,Von Gierke karaciğer son glukoz çıkış basamağıdır; McArdle kas içi glikojen yıkımıdır.,"[""McArdle hastalığı"", ""Kas glikojeni"", ""Miyoglobinüri"", ""Egzersiz intoleransı""]",27,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v187-new-247-aclikta-hipoglisemi-ve-kas-agrisi] diagnosis.options[1]: Kas glikojen fosforilaz aktivitesinin azalmasına bağlı glikojenolizin bozulması""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v187-new-247-aclikta-hipoglisemi-ve-kas-agrisi] diagnosis.answerFeedback.optionComparison.Kas glikojen fosforilaz aktivitesinin azalmasına bağlı glikojenolizin bozulması: Kas glikojen fosforilaz eksikliği kısa ve yoğun egzersizle kas krampları, egzersizde laktat yanıtının bozulması ve glikojenoliz kusuru ile ilişkilidir; hipoketotik hipoglisemi ve uzun zincirli açilkarnitin artışı beklenen ana patern değildir.""}]"
v399-biochemistry-ketogenez,Ketogenez,"[""Ketogenez"", ""ketone body synthesis"", ""keton cismi sentezi""]",Tıbbi Biyokimya,Keton metabolizması,P0,Karaciğer mitokondrisinde asetil-CoA’dan keton cisimlerinin sentezlenmesidir.,Uzamış açlıkta yağ asidi oksidasyonu asetil-CoA üretir; oksaloasetat glukoneogeneze çekildiğinde asetil-CoA ketogenez yoluna gider. Karaciğer keton üretir fakat ketonları kendisi kullanmaz.,Karaciğer keton üretir; keton kullanımını ekstrahepatik dokular yapar.,"Ketogenez karaciğerde; ketoliz kalp, kas ve açlıkta beyinde gerçekleşir.","[""Asetil-CoA"", ""HMG-CoA sentaz"", ""Asetoasetat"", ""Beta-hidroksibütirat""]",41,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v174-new-095-aclik-sonrasi-hipoglisemik-atak] diagnosis.answerFeedback.keyClues[1]: Hipoglisemiye rağmen serum ketonlarının düşük kalması ketogenez için gerekli asetil-KoA üretiminin yetersiz olduğunu gösterir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v174-new-095-aclik-sonrasi-hipoglisemik-atak] diagnosis.answerFeedback.evidenceChain[1].text: Hipoglisemiye rağmen serum ketonlarının düşük kalması ketogenez için gerekli asetil-KoA üretiminin yetersiz olduğunu gösterir.""}]"
v399-biochemistry-ksantin-oksidaz,Ksantin oksidaz,"[""Ksantin oksidaz"", ""xanthine oxidase""]",Tıbbi Biyokimya,Pürin metabolizması,P0,Hipoksantin ve ksantini ürik aside dönüştüren pürin yıkım enzimidir.,Ksantin oksidaz ürik asit üretiminin son yıkım basamaklarında yer alır. Allopurinol/febuksostat bu enzimi hedefleyerek ürik asit üretimini azaltır.,Ksantin oksidaz inhibisyonu ürik asit üretimini azaltır.,HGPRT salvage yoludur; ksantin oksidaz yıkım yoludur.,"[""Ürik asit"", ""Allopurinol"", ""Hipoksantin"", ""Ksantin""]",69,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v172-new-076-hiperurisemi-ve-davranissal-bulgular] diagnosis.options[3]: Ksantin oksidaz eksikliği""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v172-new-076-hiperurisemi-ve-davranissal-bulgular] diagnosis.answerFeedback.optionComparison.Ksantin oksidaz eksikliği: Ksantin oksidaz hipoksantin ve ksantini ürik aside dönüştürür; eksikliğinde ürik asit düşüklüğü ve ksantin taşları beklenir. Bu olgudaki belirgin hiperürisemi bu seçeneğe ters düşer.""}]"
v399-biochemistry-lizil-oksidaz,Lizil oksidaz,"[""Lizil oksidaz"", ""lysyl oxidase""]",Tıbbi Biyokimya,Bağ dokusu biyokimyası,P0,Kollajen ve elastinde çapraz bağ oluşumu için gerekli bakır bağımlı enzimdir.,"Lizil oksidaz eksik çalışırsa bağ dokusu dayanıklılığı azalır. Menkes hastalığında bakır eksikliği nedeniyle saç, damar ve bağ dokusu bulguları bu mekanizmayla açıklanır.",Bakır eksikliği lizil oksidazı bozar; kollajen/elastin çapraz bağları zayıflar.,Prolin/lizin hidroksilasyonu C vitamini bağımlıdır; çapraz bağ kurma lizil oksidaz ve bakır bağımlıdır.,"[""Menkes hastalığı"", ""Bakır metabolizması"", ""Kollajen çapraz bağı"", ""Elastin""]",12,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Hap Card Override tus-pearl-medical-biochemistry-236-extra] back: Lizil oksidaz.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Hap Card Override tus-pearl-medical-biochemistry-236-extra] answer: Lizil oksidaz.""}]"
v399-biochemistry-metilmalonil-coa-mutaz,Metilmalonil-CoA mutaz,"[""Metilmalonil-CoA mutaz"", ""methylmalonyl-CoA mutase""]",Tıbbi Biyokimya,Organik asit metabolizması,P0,Metilmalonil-CoA’yı süksinil-CoA’ya çeviren B12 bağımlı mitokondriyal enzimdir.,B12 eksikliğinde veya enzim kusurunda metilmalonik asit artar. Bu nedenle metilmalonik asit yüksekliği B12 eksikliğini folat eksikliğinden ayırmada önemlidir.,"Metilmalonik asit artışı B12 ile ilişkilidir, folat eksikliğinde beklenmez.",Propiyonil-CoA karboksilaz biotin bağımlı bir önceki basamaktır; mutaz B12 bağımlıdır.,"[""Vitamin B12"", ""Metilmalonik asit"", ""Süksinil-CoA"", ""Propiyonil-CoA karboksilaz""]",4,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Hap Card Override tus-pearl-medical-biochemistry-025-spot] explanation: B12, metiyonin sentaz ve metilmalonil-CoA mutaz reaksiyonlarında gereklidir. Folat eksikliği de megaloblastik anemi yapabilir; ancak B12 eksikliğinde metilmalonil-CoA metabolizması da bozulduğu için nörolojik bulgular ve subakut kombine dejenerasyon beklenir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Hap Card Override tus-pearl-medical-biochemistry-025-extra] explanation: B12, metilmalonil-CoA mutazın kofaktörüdür ve metilmalonil-CoA’nın süksinil-CoA’ya dönüşmesini sağlar. B12 eksikliğinde metilmalonik asit artar; folat eksikliğinde homosistein artabilir fakat metilmalonik asit tipik olarak artmaz.""}]"
v399-biochemistry-metiyonin-sentaz,Metiyonin sentaz,"[""Metiyonin sentaz"", ""methionine synthase""]",Tıbbi Biyokimya,Tek karbon metabolizması,P0,Homosisteini metiyonine remetile eden B12 bağımlı enzimdir.,"Metiyonin sentaz, 5-metil-THF’den metil grubunu B12 aracılığıyla homosisteine aktarır. B12 eksikliğinde homosistein artar ve folat tuzağı gelişebilir.",Metiyonin sentaz B12 bağımlıdır; homosisteini metiyonine döndürür.,CBS B6 bağımlı transsülfürasyondur; metiyonin sentaz B12/folat bağımlı remetilasyondur.,"[""Vitamin B12"", ""Folat tuzağı"", ""Homosistein"", ""Metiyonin""]",51,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v168-new-054-tromboz-egilimi-olan-ergen] diagnosis.options[2]: Methionine synthase eksikliği""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v168-new-054-tromboz-egilimi-olan-ergen] diagnosis.answerFeedback.optionComparison.Methionine synthase eksikliği: Methionine synthase B12 bağımlı remetilasyonla homosisteini metiyonine dönüştürür. Eksikliğinde homosistein artabilir fakat metiyonin genellikle düşük/normaldir ve megaloblastik anemi beklenebilir; bu panelde metiyoninin yüksek olması dışlayıcıdır.""}]"
