term,category,subcategory,priority,shortDefinition,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceExamples
Adneksiyal kitle,Kadın Hastalıkları ve Doğum,Jinekolojik görüntüleme,P0,"Over, tuba veya çevre dokulardan kaynaklanan adneks bölgesinde kitle saptanmasıdır.",Pozitif β-hCG + adneksiyal kitle + serbest sıvı = ektopik gebelik için güçlü kombinasyon.,Akut ağrılı adneksiyal kitle torsiyon veya rüptür; ateş ve hassasiyet tuboovaryan apse; solid-papiller yapı malignite lehinedir.,Ektopik gebelik | Ovaryan torsiyon | Tuboovaryan apse,84,"Sağ adneksiyal kitle, Douglas’ta serbest sıvı ve peritoneal irritasyon → rüptür/hemoperitoneum paternini destekler. || Sağ adneksiyal kitle, Douglas’ta serbest sıvı ve peritoneal irritasyon → rüptür/hemoperitoneum paternini destekler."
Anormal uterin kanama,Kadın Hastalıkları ve Doğum,Jinekolojik kanama,P0,"Gebelik dışı uterin kanamanın miktar, süre, sıklık veya zamanlama açısından normalden sapmasıdır.",AUK’da ilk dışlanacak şey gebelik; sonra PALM-COEIN ile nedenleri ayır.,Postmenopozal kanama kanser dışlanana kadar önemlidir; genç anovulatuvar kanama farklı değerlendirilir.,PALM-COEIN sınıflaması | Endometrial biyopsi | Gebelik testi,19,"Bu seçenek doğrudur. Anormal uterin kanama, bası semptomları, düzensiz büyümüş uterus ve myometrial iyi sınırlı kitleler leiomyom paternidir. || Bu seçenek doğrudur. Anormal uterin kanama, bası semptomları, düzensiz büyümüş uterus ve myometrial iyi sınırlı kitleler leiomyom paternidir."
Endometriyal karsinom,Kadın Hastalıkları ve Doğum,Jinekolojik onkoloji,P0,Endometrium epitelinden kaynaklanan uterin malignitedir.,Postmenopozal kanama = endometriyal karsinom dışlanana kadar önemli.,Serviks kanseri Pap smear ile taranır; endometrium kanserinde tanı endometrial biyopsidir.,Postmenopozal kanama | Endometrial biyopsi | Endometrial hiperplazi,20,Endometrial hiperplazi ve endometrium kanseri riski. || Endometrial hiperplazi ve endometrium kanseri riski.
HPV 16/18,Kadın Hastalıkları ve Doğum,Jinekolojik onkoloji,P0,Serviks kanseriyle en güçlü ilişkili yüksek riskli human papillomavirus tipleridir.,Serviks kanseri taramasında HPV 16/18 pozitifliği yüksek riskli sonuçtur.,Düşük riskli HPV tipleri kondilom yapar; 16/18 kanser riskiyle öne çıkar.,Servikal intraepitelyal neoplazi | Pap smear | Serviks kanseri,8,yüksek riskli HPV || Serviks kanseri taramasında yüksek riskli HPV testinin klinik değeri nedir?
Servikal intraepitelyal neoplazi,Kadın Hastalıkları ve Doğum,Jinekolojik onkoloji,P0,Serviks epitelinde invazyon olmadan gelişen HPV ilişkili premalign lezyon spektrumudur.,HPV 16/18 + anormal tarama = CIN ve serviks kanseri öncülü akla gelir.,İnvaziv serviks kanserinde bazal membran aşılmıştır; CIN intraepitelyaldir.,HPV 16/18 | Pap smear | Kolposkopi,779,"Seri beta-hCG ve kontrol ultrasonografi, hemodinamik olarak stabil ve peritoneal bulgusu olmayan gebeliği bilinmeyen lokalizasyon olgularında kullanılabilir. Bu hastada hipotansiyon, belirgin taşikardi, defans ve serbest sıvı bulunduğu için bekleme yaklaşımı olası intraperitoneal kanamayı geciktirir. || Seri beta-hCG ve kontrol ultrasonografi, hemodinamik olarak stabil ve peritoneal bulgusu olmayan gebeliği bilinmeyen lokalizasyon olgularında kullanılabilir. Bu hastada hipotansiyon, belirgin taşikardi, defans ve serbest sıvı bulunduğu için bekleme yaklaşımı olası intraperitoneal kanamayı geciktirir."
Seröz over karsinomu,Kadın Hastalıkları ve Doğum,Jinekolojik onkoloji,P0,Overin yüksek dereceli epiteliyal malign tümörlerinden biridir ve sıklıkla ileri evrede tanınır.,Postmenopozal adneksiyal kitle + asit/CA-125 = over malignitesi düşün.,Granüloza tümör östrojen; germ hücre tümörleri genç yaş ve AFP/LDH gibi belirteçlerle ayrılır.,Over kanseri | CA-125 | BRCA1/2,0,
Postmenopozal kanama,Kadın Hastalıkları ve Doğum,Jinekolojik onkoloji alarmı,P0,Menopoz sonrası vajinal/uterin kanama görülmesidir.,Postmenopozal kanama = endometrium kanseri dışlanana kadar alarm bulgusu.,Premenopozal düzensiz kanama hormonal olabilir; postmenopozal kanama daha yüksek malignite uyarısı taşır.,Endometrial biyopsi | Endometrium kanseri | Transvajinal ultrasonografi,54,"Jinekolojik onkoloji - postmenopozal kanamada risk faktörleri, TVUSG bulgusu ve endometriyal doku tanısı kararını birlikte değerlendirme. || Postmenopozal kanaması olan ve endometrium kalınlığı artmış hastada izlem veya ampirik tedavi yerine endometriyal örnekleme gerektiğini ayırt etme."
Endometrial biyopsi,Kadın Hastalıkları ve Doğum,Jinekolojik tanı,P0,Endometriumdan histopatolojik değerlendirme için doku örneği alınmasıdır.,Postmenopozal kanama veya riskli AUK = endometrial biyopsi düşün.,Pap smear serviksi tarar; endometrial biyopsi uterin kaviteyi değerlendirir.,Postmenopozal kanama | Endometrial hiperplazi | Endometrium kanseri,0,
Uteroplasental yetmezlik,Kadın Hastalıkları ve Doğum,Maternal-fetal dolaşım,P0,Plasental perfüzyonun fetal gereksinimi karşılayamamasıyla gelişen maternal-fetal risk durumudur.,Preeklampsi + büyüme geriliği/oligohidramnios = uteroplasental yetmezlik paternidir.,Konstitüsyonel küçük fetüste Doppler ve amniyon sıvısı normal olabilir; yetmezlikte akım bozukluğu beklenir.,Preeklampsi | İntrauterin gelişme kısıtlılığı | Umbilikal arter Doppler,9,"Uteroplasental yetmezlik lehine || Bu vaka hipertansiyon zemininde gelişen klasik geç gebelik ağrılı kanama tablosudur. Koyu kanama, sürekli karın ağrısı ve sert-hassas uterus plasenta previa gibi ağrısız kanama nedenlerinden ayrılır. Fetal hareket azalması, CTG bozulması ve gebelikte beklenenden düşük fibrinojen ablasyo ile ilişkili uteroplasental yetmezlik ve tüketim koagülopatisi riskini destekler. Bu nedenle en olası tanı ablatio plasentadır."
Amniyon sıvı embolisi,Kadın Hastalıkları ve Doğum,Obstetrik acil,P0,Amniyon sıvısı/fetal materyale karşı gelişen ani kardiyopulmoner kollaps ve koagülopati tablosudur.,Doğumda ani hipoksi + şok + DIC = amniyon sıvı embolisi düşün.,Pulmoner emboli de dispne/şok yapabilir; amniyon embolisinde obstetrik bağlam ve DIC belirgindir.,DIC obstetrik | Postpartum kanama | Kardiyopulmoner kollaps,0,
Kord prolapsusu,Kadın Hastalıkları ve Doğum,Obstetrik acil,P0,Umbilikal kordun fetal prezente kısmın önüne geçerek basıya uğramasıdır.,Membran rüptürü sonrası ani fetal bradikardi = kord prolapsusu alarmı.,Plasenta dekolmanı kanama/ağrı ile; kord prolapsusu akut fetal kalp hızı bozulmasıyla öne çıkar.,Amniyotomi | Fetal bradikardi | Acil sezaryen,0,
Hemoperitoneum,Kadın Hastalıkları ve Doğum,Obstetrik/jinekolojik acil,P0,Periton boşluğunda kan birikmesidir.,Gebelik + serbest sıvı + dolaşım bozukluğu = hemoperitoneum ve rüptür olasılığı.,Basit serbest sıvı ovulasyon sonrası olabilir; hemodinamik bozulma ve hemoglobin düşüşü kanama lehinedir.,Rüptüre ektopik gebelik | Serbest sıvı | Acil cerrahi eksplorasyon,65,İntraperitoneal kanama olasılığını artırır || Hemoperitoneum açısından uyarıcı
Preterm eylem,Kadın Hastalıkları ve Doğum,Preterm doğum,P0,Gebeliğin 37. haftasından önce düzenli uterin kontraksiyonlarla servikal değişikliğin başlamasıdır.,Preterm kasılma + servikal değişiklik = preterm eylem; amaç zamanı steroid/nöroproteksiyon için kazanmaktır.,Braxton Hicks kontraksiyonları servikal değişiklik yapmaz.,Tokoliz | Servikal uzunluk | Kortikosteroid fetal akciğer maturasyonu,7,"Preterm eylem bulgusu yok || Düzenli kontraksiyon, ateş, kötü kokulu akıntı ve CRP/lökosit artışı olmaması → preterm eylem veya enfeksiyonu geri plana iter."
Kortikosteroid fetal akciğer maturasyonu,Kadın Hastalıkları ve Doğum,Preterm doğum yönetimi,P0,Preterm doğum riski olan gebelikte fetal akciğer olgunlaşmasını hızlandırmak için verilen antenatal kortikosteroid uygulamasıdır.,Preterm doğum riski + uygun hafta = antenatal steroid; tokoliz çoğu kez bu zamanı kazandırmak içindir.,Magnezyum sülfat fetal akciğer için değil nöroproteksiyon için verilir.,Betametazon | Preterm eylem | Respiratuvar distres sendromu,30,"Kortikosteroid fetal akciğer matürasyonu için preterm doğum riski belirgin olduğunda düşünülür; Rh alloimmünizasyonunu önlemez. Bu hastada düzenli kontraksiyon, membran rüptürü veya fetal distres baskın değildir. || Kortikosteroid fetal akciğer matürasyonu için preterm doğum riski belirgin olduğunda düşünülür; Rh alloimmünizasyonunu önlemez. Bu hastada düzenli kontraksiyon, membran rüptürü veya fetal distres baskın değildir."
Tokoliz,Kadın Hastalıkları ve Doğum,Preterm doğum yönetimi,P0,Uterin kontraksiyonları kısa süre baskılayarak preterm doğumu geciktirme yaklaşımıdır.,"Tokoliz “doğumu durdurma” değil, steroid/transfer için 48 saat kazandırma mantığıdır.",PPROM veya koryoamniyonitte tokoliz enfeksiyon riskini artırabilir; kontrendikasyonları değerlendir.,Preterm eylem | Nifedipin | Antenatal kortikosteroid,15,Kısa süreli tokoliz seçilmiş durumlarda steroid tamamlanması için düşünülebilir; fakat sık dijital muayene PPROM’da enfeksiyon riskini artırır. Bu seçenek yönetimin temelini yanlış kurar. || Kısa süreli tokoliz seçilmiş durumlarda steroid tamamlanması için düşünülebilir; fakat sık dijital muayene PPROM’da enfeksiyon riskini artırır. Bu seçenek yönetimin temelini yanlış kurar.
Serklaj,Kadın Hastalıkları ve Doğum,Preterm doğum önleme,P0,Servikal yetmezlikte serviksi mekanik olarak desteklemek için atılan dikiştir.,Ağrısız ikinci trimester servikal açılma/kayıp = servikal yetmezlik ve serklaj düşün.,Preterm eylem kontraksiyonla gelir; servikal yetmezlik çoğu kez ağrısız açılmayla belirgindir.,Servikal yetmezlik | Servikal uzunluk | Preterm eylem,15,"Servikal yetmezlikte öyküye dayalı risk, transvajinal servikal uzunluk, enfeksiyon/eylem dışlama ve serklaj endikasyonunu ayırt edebilme. || Servikal serklaj değerlendirilmesi"
Primer amenore,Kadın Hastalıkları ve Doğum,Amenore değerlendirmesi,P1,Menarşın beklenen yaşa kadar hiç başlamamasıdır.,Primer amenorede ilk ayrım: sekonder seks karakterleri var mı ve uterus var mı?,Sekonder amenorede daha önce adet görmüş olmak tanımı değiştirir.,Müllerian agenezi | Turner sendromu | Imperfore hymen,11,"45,X streak gonad Turner sendromunu, 46,XY testis ve androjen reseptör direnci komplet androjen duyarsızlığını, anosmi ile hipogonadotropik hipogonadizm Kallmann sendromunu, virilizasyon ise konjenital adrenal hiperplaziyi düşündürür. Müllerian agenezi/MRKH sendromunda karyotip 46,XX’tir, overler işlevseldir ve sekonder seks karakterleri genellikle normal gelişir; uterus ve üst vajina konjenital olarak yoktur veya hipoplaziktir. Seçilmelidir; müllerian agenezide genetik ve gonadal yapı kadın tipindedir, over fonksi || Primer amenore ayırıcı tanısında Müllerian agenezide “46,XX + normal sekonder seks karakterleri + uterus yokluğu” anahtar kombinasyondur."
Sekonder amenore,Kadın Hastalıkları ve Doğum,Amenore değerlendirmesi,P1,Daha önce adet gören kişide adetlerin belirli süre kesilmesidir.,Sekonder amenorede ilk test gebelik testidir.,Primer amenorede hiç menarş olmamıştır; sekonderde daha önce menstruasyon vardır.,Gebelik testi | Hiperprolaktinemi | Asherman sendromu,2,"Kırk yaş altında sekonder amenore, hipoöstrojenik semptomlar ve yüksek FSH hangi tanıyı düşündürür? || Kırk yaş altında sekonder amenore, hipoöstrojenik semptomlar ve yüksek FSH hangi tanıyı düşündürür?"
Endometrial polip,Kadın Hastalıkları ve Doğum,Anormal uterin kanama,P1,Endometriumdan kaynaklanan lokalize benign mukozal çıkıntıdır.,AUK’da yapısal nedenlerden P = polip.,Endometrial hiperplazi diffüz proliferasyon; polip fokal lezyondur.,Anormal uterin kanama | PALM-COEIN sınıflaması | Histeroskopi,7,"Endometriyal polip || Endometriyal polip intermenstrüel veya postkoital lekelenme ve fokal intrakaviter polipoid lezyonla öne çıkar. Burada bası semptomları, düzensiz büyümüş uterus ve büyük myometrial kitleler polipten daha açıklayıcıdır."
Dermoid kist,Kadın Hastalıkları ve Doğum,Benign over kisti,P1,"Matür kistik teratomun klinikte sık kullanılan adıdır; ektodermal yapılardan saç, yağ veya diş içerebilir.",Genç kadın + over kitlesinde yağ/diş/saç içeriği = dermoid kist.,Endometrioma çikolata kisti görünümüyle; dermoid yağ/kalsifikasyonla ayrılır.,Matür kistik teratom | Adneksiyal torsiyon | Adneksiyal kitle,2,Dermoid kist yağ/kalsifikasyon içerebilir; endometrioma eski kan ve siklik ağrı bağlamıyla ayrılır. || Dermoid kist yağ/kalsifikasyon içerebilir; endometrioma eski kan ve siklik ağrı bağlamıyla ayrılır.
Fonksiyonel over kisti,Kadın Hastalıkları ve Doğum,Benign over kisti,P1,Normal ovulatuvar siklusla ilişkili folliküler veya korpus luteum kaynaklı geçici over kistidir.,Premenopozal basit kist çoğu kez fonksiyoneldir; torsiyon/rüptür semptomu varsa acildir.,Solid papiller komponent veya postmenopozal kitle malignite açısından daha dikkat gerektirir.,Korpus luteum kisti | Adneksiyal kitle | Adneksiyal torsiyon,1,Fonksiyonel over kisti
Aktif doğum eylemi,Kadın Hastalıkları ve Doğum,Doğum fazları,P1,Düzenli kontraksiyonlarla servikal dilatasyonun belirgin hızlandığı doğum fazıdır.,Aktif fazı erken tanımak sezaryen/oksitosin kararını gereksiz hızlandırabilir.,Latent fazda dilatasyon yavaş olabilir; tek başına uzama patoloji değildir.,Latent faz | Servikal dilatasyon | Partograf,25,"Hasta 39+1 haftalık gebeliğinde aktif doğum eylemindedir ve gebeliği gestasyonel diyabet nedeniyle takip edilmiştir. Son kontrolde fetal ağırlığın yüksek olabileceği söylenmiş, ancak doğum eylemi vajinal doğumla ilerlemiştir. Fetal baş doğduktan sonra başın perineye doğru geri çekildiği fark edilmiş ve hafif standart traksiyona rağmen omuzlar doğmamıştır. Bu sırada yoğun vajinal kanama veya uterin rüptür düşündüren ani maternal kötüleşme yoktur. Ekip neonatal değerlendirme için hazır beklemektedir. || Hasta 39+1 haftalık gebeliğinde aktif doğum eylemindedir ve gebeliği gestasyonel diyabet nedeniyle takip edilmiştir. Son kontrolde fetal ağırlığın yüksek olabileceği söylenmiş, ancak doğum eylemi vajinal doğumla ilerlemiştir. Fetal baş doğduktan sonra başın perineye doğru geri çekildiği fark edilmiş ve hafif standart traksiyona rağmen omuzlar doğmamıştır. Bu sırada yoğun vajinal kanama veya uterin rüptür düşündüren ani maternal kötüleşme yoktur. Ekip neonatal değerlendirme için hazır beklemektedir."
İstasyon,Kadın Hastalıkları ve Doğum,Doğum mekaniği,P1,Fetal başın spina ischiadica düzeyine göre kaç santimetre yukarıda/aşağıda olduğunu gösterir.,Operatif vajinal doğum için başın yeterince inmiş olması gerekir; istasyon bunu gösterir.,Dilatasyon serviks açıklığıdır; istasyon fetal baş seviyesidir.,Bishop skoru | Operatif vajinal doğum | Fetal baş angajmanı,7,"Uterin rüptür özellikle geçirilmiş uterin cerrahi, doğum eyleminde ani ağrı, fetal istasyon kaybı ve maternal şokla düşünülür. Bu hastada önceki sezaryen yoktur ve baskın tablo hipertansiyon zemininde ağrılı koyu kanama/hipertonik uterustur. || Uterin rüptür özellikle geçirilmiş uterin cerrahi, doğum eyleminde ani ağrı, fetal istasyon kaybı ve maternal şokla düşünülür. Bu hastada önceki sezaryen yoktur ve baskın tablo hipertansiyon zemininde ağrılı koyu kanama/hipertonik uterustur."
Epizyotomi,Kadın Hastalıkları ve Doğum,Doğum müdahalesi,P1,Doğumda perinenin kontrollü cerrahi kesiyle genişletilmesidir.,Epizyotomi rutin değildir; seçilmiş doğum koşullarında uygulanır.,Spontan birinci-ikinci derece yırtıklarla üçüncü-dördüncü derece anal sfinkter/rektum yaralanması ayrılır.,Pudendal sinir bloğu | Operatif vajinal doğum | Perine yırtığı,2,Epizyotomi kemik engeli çözmez; yalnızca iç manevralar için alan gerektiğinde yardımcı olabilir. || Epizyotomi kemik engeli çözmez; yalnızca iç manevralar için alan gerektiğinde yardımcı olabilir.
Amniyotomi,Kadın Hastalıkları ve Doğum,Doğum yönetimi,P1,Amniyon zarlarının yapay olarak açılmasıdır.,Amniyotomi öncesi baş angajmanı önemlidir; yüksek başta kord prolapsusu riski artar.,Spontan membran rüptürü ile karıştırma; amniyotomi planlı yapay rüptürdür.,Doğum indüksiyonu | Kord prolapsusu | Fetal baş angajmanı,16,Amniyotomi yapılarak kanamanın azaltılması || Amniyotomi previa şüphesinde kanamayı azaltmaz; aksine fetal-maternal riski artırabilir. Membran müdahalesi ancak plasenta yerleşimi ve doğum planı netleştikten sonra uygun obstetrik koşullarda düşünülür.
Doğum indüksiyonu,Kadın Hastalıkları ve Doğum,Doğum yönetimi,P1,Doğum eylemini spontan başlamadan tıbbi yöntemlerle başlatma işlemidir.,İndüksiyon kararı = endikasyon + Bishop skoru + fetal/maternal güvenlik.,Acil fetal distreste indüksiyon değil hızlı doğum/sezaryen gerekebilir.,Bishop skoru | Oksitosin | Amniyotomi,29,Hemen doğum indüksiyonu veya sezaryenle gebeliği sonlandırmak || v189-new-297-ovulasyon-induksiyonu-sonrasi-karin-sisligi
