id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples,answerLeakRisk,ambiguityRisk
v404-pediatrics-lokosit-adezyon-defekti,Lökosit adezyon defekti,Lökosit adezyon defekti; LAD,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / Fagosit kusuru,P0,Nötrofillerin damar dışına göç edememesiyle giden adezyon molekül kusurudur.,"Gecikmiş göbek kordonu düşmesi, irin oluşmaması, tekrarlayan bakteriyel enfeksiyonlar ve belirgin nötrofili tipiktir. Problem nötrofil sayısı değil, dokulara geçememesidir.",Gecikmiş umblikal kord düşmesi + irin yokluğu + nötrofili LAD düşündürür.,Kronik granülomatöz hastalıkta fagositler gelir ama oksidatif öldürme bozulur.,Nötrofili; Gecikmiş göbek kordonu düşmesi; İrin yokluğu,70,"Annesi, bebeğin son 10 gündür emzirme veya mama sonrası kusmaya başladığını, son iki günde ise kusmanın hemen her beslenmeden sonra fışkırır tarzda olduğunu anlatmaktadır. Kusma safralı ya da kanlı değildir ve bebek kusmadan kısa süre sonra yeniden emmek istemektedir. Aile son haftada ıslak bez sayısının azaldığını, tartı alımının beklenen düzeyde olmadığını ve beslenme aralarında huzursuzluk geliştiğini fark etmiştir. Ateş, ishal, beli || Yakınmalar aynı gün içinde hızla başlamış; aile önce ateş ve boğaz ağrısı olduğunu, birkaç saat içinde çocuğun su içmek istemediğini ve tükürüğünü yutamadığını belirtmiştir. Sesinin giderek boğuklaştığı, yatınca nefesinin zorlaştığı ve kucakta öne eğilerek durunca nispeten rahatladığı fark edilmiştir. Evde belirgin havlar tarzda öksürük veya uzun süren nezle yakınması olmamıştır. Aşı kayıtları sorgulandığında Hib dozlarının eksik olduğu",low,low
v404-pediatrics-digeorge-sendromu,DiGeorge sendromu,DiGeorge sendromu,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / Faringeal poş anomalisi,P0,"22q11 delesyonuna bağlı timus ve paratiroid gelişim bozukluğu, konotrunkal kalp defekti ve hipokalsemiyle seyreden sendromdur.","Üçüncü-dördüncü faringeal poş gelişim kusuru T hücre immün yetmezliği ve hipokalsemiye yol açar. Yenidoğanda tetani/nöbet, konjenital kalp hastalığı ve enfeksiyon eğilimi birlikte sorulabilir.",Konotrunkal defekt + hipokalsemi + timus hipoplazisi DiGeorge’dur.,Bruton B hücre/antikor kusurudur; DiGeorge T hücre/timus gelişim kusurudur.,22q11 delesyonu; Timus hipoplazisi; Hipokalsemi,8,DiGeorge sendromu || DiGeorge sendromu.,low,low
v404-pediatrics-wiskott-aldrich-sendromu,Wiskott-Aldrich sendromu,Wiskott-Aldrich sendromu,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / Kombine immün yetmezlik,P0,"Egzama, trombositopeni ve tekrarlayan enfeksiyon triadıyla giden X’e bağlı immün yetmezliktir.","WAS protein kusuru aktin iskelet düzenini ve immün sinapsı bozar. Küçük trombositler, kanama eğilimi ve enfeksiyon birlikteliği klasik TUS ipucudur.",Egzama + tekrarlayan enfeksiyon + küçük trombositli trombositopeni Wiskott-Aldrich’tir.,ITP’de trombositler genellikle büyük olabilir; Wiskott-Aldrich’te küçük trombosit ve immün yetmezlik vardır.,Küçük trombosit; Egzama; X bağlı kalıtım,15,"Ağır kombine immün yetmezliği X’e bağlı agammaglobulinemi, Wiskott-Aldrich sendromu, selektif IgA eksikliği ve kronik granülomatöz hastalıktan klinik ve immünolojik verilerle ayırt etme. || Wiskott-Aldrich sendromu",low,low
v404-pediatrics-agir-kombine-immun-yetmezlik,Ağır kombine immün yetmezlik,Ağır kombine immün yetmezlik; SCID,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / Primer immün yetmezlik,P0,"T ve B hücre fonksiyonlarının ağır bozulduğu, erken bebeklikte hayatı tehdit eden immün yetmezliktir.","Ağır tekrarlayan enfeksiyonlar, kronik ishal, oral kandidiyazis, gelişme geriliği ve lenfopeni ile gelir. Canlı aşılar tehlikeli olabilir; kesin tedavi hematopoetik kök hücre nakli gibi yaklaşımlardır.",Erken bebeklik + kandidiyazis/kronik ishal + lenfopeni SCID düşündürür.,Bruton’da T hücre fonksiyonu korunur ve enfeksiyonlar maternal IgG kaybolduktan sonra belirginleşir.,Lenfopeni; Canlı aşı kontrendikasyonu; Kök hücre nakli,57,"Doğru eşleştirme BTK mutasyonu ile pre-B hücre maturasyon bloğudur. IL2RG ağır kombine immün yetmezlik, WAS küçük trombositli ekzema-immün yetmezlik tablosu, AIRE otoimmün poliendokrinopati, CYBB ise kronik granülomatöz hastalık ile ilişkilidir. X’e bağlı agammaglobulinemi Bruton tirozin kinaz (BTK) mutasyonuna bağlıdır; pre-B hücre maturasyonu durur, periferik olgun B hücreleri ve tüm immünoglobulin düzeyleri belirgin azalır. Doğru cev || Yanlıştır; IL2RG mutasyonu X’e bağlı SCID ile ilişkilidir, lökosit adezyon defekti ise CD18/integrin kusuru ile düşünülür.",low,low
v404-pediatrics-duktus-bagimli-konjenital-kalp-hastaligi,Duktus bağımlı konjenital kalp hastalığı,Duktus bağımlı konjenital kalp hastalığı,Çocuk Sağlığı ve Hastalıkları,Pediatrik kardiyoloji / Yenidoğan kardiyak acil,P0,Sistemik veya pulmoner kan akımının açık duktus arteriozusa bağlı olduğu doğumsal kalp hastalıklarıdır.,"Duktus kapanınca şok, siyanoz, metabolik asidoz veya nabız farkı gelişebilir. Prostaglandin E1 duktusu açık tutarak cerrahi/girişimsel düzeltmeye kadar zaman kazandırır.",Yenidoğanda dirençli siyanoz/şok + duktal bağımlı lezyon şüphesinde PGE1 ver.,Akciğer hastalığında oksijenle düzelme olabilir; duktal lezyonda hiperoksi yanıtı zayıf kalabilir.,Prostaglandin E1; Preduktal-postduktal satürasyon farkı; Hiperoksi testi,1,"Yenidoğanda oksijene dirençli santral siyanoz, düşük pre/postduktal satürasyon, hiperoksi yanıtının zayıf olması ve perfüzyon bozulmasını birlikte yorumlayarak duktus bağımlı konjenital kalp hastalığında acil duktal açıklık desteğini seçme.",low,low
v404-pediatrics-febril-nobet,Febril nöbet,Febril nöbet,Çocuk Sağlığı ve Hastalıkları,Pediatrik nöroloji / Ateşli nöbet,P0,"6 ay-5 yaş arasında ateşle ilişkili, MSS enfeksiyonu veya metabolik neden olmadan gelişen nöbettir.","Basit febril nöbet kısa, jeneralize ve 24 saatte tek nöbettir; kompleks febril nöbet uzamış, fokal veya tekrarlayıcıdır. Gereksiz lomber ponksiyon/antiepileptik tuzaklarına dikkat edilir.","Kısa, jeneralize, tek ateşli nöbet basit febril nöbettir.","Menenjitte ense sertliği, toksik görünüm ve BOS bulguları nöbetin ateşten bağımsız ciddi nedenini düşündürür.",Basit febril nöbet; Kompleks febril nöbet; Menenjit,66,"Ateşle ilişkili kısa nöbet başvurusunda basit febril nöbet, komplike nöbet, menenjit ve metabolik nedenleri ayırma. || Febril nöbette yaş, nöbet süresi, fokal bulgu, tekrarlama ve nörolojik normale dönüş kriterleriyle güvenli klinik sınıflama yapabilme.",low,low
v404-pediatrics-duchenne-muskuler-distrofi,Duchenne musküler distrofi,Duchenne musküler distrofi; DMD,Çocuk Sağlığı ve Hastalıkları,Pediatrik nöromüsküler / Kas hastalığı,P0,Distrofin eksikliğine bağlı X’e bağlı progresif kas hastalığıdır.,"Erkek çocukta proksimal güçsüzlük, Gowers bulgusu, baldır psödohipertrofisi ve CK yüksekliğiyle gelir. Kardiyomiyopati ve solunum kas etkilenimi uzun dönem izlemde önemlidir.",Erkek çocuk + Gowers + baldır psödohipertrofisi Duchenne düşündürür.,Becker daha geç ve hafif seyreder; Duchenne distrofin yokluğu/ağır eksikliğiyle daha ağırdır.,Distrofin; Gowers bulgusu; Baldır psödohipertrofisi,33,"Erken çocuklukta progresif proksimal kas güçsüzlüğünü, Gowers bulgusu ve CK yüksekliğiyle birlikte değerlendirerek Duchenne musküler distrofisini ayırt etme. || Duchenne musküler distrofisinde yaş, cinsiyet, motor gecikme, baldır psödohipertrofisi, Gowers manevrası ve çok yüksek CK paternini benzer nöromüsküler hastalıklardan ayırabilme.",low,low
v404-pediatrics-spinal-muskuler-atrofi-tip-1,Spinal musküler atrofi tip 1,Spinal musküler atrofi tip 1; Werdnig-Hoffmann hastalığı; SMA tip 1,Çocuk Sağlığı ve Hastalıkları,Pediatrik nöromüsküler / Motor nöron hastalığı,P0,SMN1 gen kusuruna bağlı erken bebeklikte ağır hipotoni ve güçsüzlük yapan alt motor nöron hastalığıdır.,"Dil fasikülasyonu, arefleksi, kurbağa bacağı pozisyonu ve solunum/emme güçlüğü görülebilir. Duyusal fonksiyon ve biliş genellikle korunur.",Hipotonik bebek + dil fasikülasyonu + arefleksi SMA tip 1 düşündürür.,Duchenne daha geç çocuklukta yürüyen çocukta proksimal güçsüzlükle; SMA tip 1 erken bebeklikte hipotonik tabloyla gelir.,SMN1; Dil fasikülasyonu; Arefleksi,14,Werdnig-Hoffmann hastalığı || Werdnig-Hoffmann hastalığı.,low,low
v404-pediatrics-retinoblastom,Retinoblastom,Retinoblastom,Çocuk Sağlığı ve Hastalıkları,Pediatrik onkoloji / Göz tümörü,P0,Retinal hücrelerden gelişen çocukluk çağı malign göz tümörüdür.,"Lökokori, şaşılık ve asimetrik kırmızı refle ile saptanabilir. RB1 tümör baskılayıcı geninin iki vuruş kaybı klasik patogenezdir; bilateral/multifokal olgular germline riski düşündürür.",Fotoğrafta beyaz pupilla retinoblastom açısından acil değerlendirilmelidir.,Konjenital katarakt da lökokori yapabilir; retinoblastom malignite riski nedeniyle dışlanmalıdır.,Lökokori; RB1; Kırmızı refle,25,"Süt çocuğunda fotoğrafta beyaz pupilla, asimetrik kırmızı refle ve şaşılık paterninden retinoblastomu diğer lökokori nedenlerinden ayırt etme. || Lökokori ile başvuran çocukta retinoblastomu konjenital katarakt, persistan fetal vaskülarite, Coats hastalığı ve oküler toksokariazisten klinik ve görüntüleme bulgularıyla ayırt etme.",low,low
v404-pediatrics-pediatrik-astim-atagi,Pediatrik astım atağı,Pediatrik astım atağı; çocukta astım atağı,Çocuk Sağlığı ve Hastalıkları,Pediatrik pulmonoloji / Acil,P0,"Çocukta bronş hiperreaktivitesi ve hava yolu inflamasyonuna bağlı akut hışıltı, dispne ve solunum işi artışı tablosudur.","Ağır atakta konuşamama, yardımcı kas kullanımı, hipoksemi, sessiz akciğer ve PaCO2 normalleşmesi kötüleşme işaretidir. İlk tedavi oksijen, inhale kısa etkili beta agonist, ipratropium ve sistemik steroid kombinasyonudur.",Ağır astımda sessiz akciğer ve yükselen PaCO2 tükenme işaretidir.,Bronşiolit çoğu kez ilk viral hışıltı atağıdır; astımda tekrarlayan atak ve bronkodilatör yanıt daha belirgindir.,Status asthmaticus; Sessiz akciğer; Kısa etkili beta agonist,5,"Ağır pediatrik astım atağında hipoksemi, konuşma güçlüğü, yardımcı kas kullanımı ve obstrüksiyon bulgularını birlikte değerlendirerek başlangıç acil tedavi kombinasyonunu seçme. || Ağır pediatrik astım atağında tedavi klinik ciddiyete göre gecikmeden başlar; görüntüleme veya antibiyotik kararı bronkodilatör ve steroid başlangıcını ertelemez.",low,low
v404-pediatrics-sessiz-akciger,Sessiz akciğer,Sessiz akciğer,Çocuk Sağlığı ve Hastalıkları,Pediatrik pulmonoloji / Ağır obstrüksiyon,P0,Ağır hava yolu obstrüksiyonunda wheezing sesinin azalması veya kaybolmasıdır.,"Hava akımı çok azaldığında hışıltı duyulmayabilir; bu düzelme değil, solunum yetersizliği uyarısıdır. Ağır astım atağında hipoksemi/hiperkapniyle birlikte acil tedavi ve yakın izlem gerektirir.","Astımda wheezing kaybolması iyiye gidiş değil, hava akımının kritik azalması olabilir.",Hafif astımda belirgin wheezing duyulur; ağır tıkanmada ses azalabilir.,Status asthmaticus; Pediatrik astım atağı; Hiperkapni,1,Bilinç açık fakat anksiyetelidir; sessiz akciğer veya tükenme bulgusu gelişimi açısından yakın izlem gerekir.,low,low
v404-pediatrics-inspiratuvar-stridor,İnspiratuvar stridor,İnspiratuvar stridor,Çocuk Sağlığı ve Hastalıkları,Pediatrik pulmonoloji / Üst hava yolu bulgusu,P0,"İnspirasyon sırasında üst hava yolu darlığına bağlı duyulan kaba, tiz solunum sesidir.","Ekstratorasik hava yolu daralması inspirasyonda daha belirginleşir. Krup, epiglottit, laringomalazi, yabancı cisim ve subglottik stenoz gibi nedenlerde tanısal yönlendiricidir.",Stridor üst hava yolu obstrüksiyonunu gösterir; wheezing alt hava yolu obstrüksiyonudur.,Hışıltı genellikle ekspiratuvar ve bronşiyal daralmaya bağlıdır; stridor larenks/trakea düzeyini düşündürür.,Krup; Epiglottit; Laringomalazi,66,"Yüksek ateşle birlikte yutamama, salya akışı, boğuk ses ve istirahatte inspiratuvar stridor vardır. || İstirahatte inspiratuvar stridor duyulur; ajitasyonu artırmamak için dil basacağı ile orofarenks muayenesi yapılmamıştır.",low,low
v404-pediatrics-demir-toksisitesi,Demir toksisitesi,Demir toksisitesi,Çocuk Sağlığı ve Hastalıkları,Pediatrik toksikoloji / Zehirlenme,P0,"Aşırı demir alımına bağlı gastrointestinal irritasyon, şok, metabolik asidoz ve çoklu organ hasarı yapabilen zehirlenmedir.","Çocukta tekrarlayan kusma, kanlı ishal, letarji, anyon açıklıklı metabolik asidoz ve yüksek serum demiri ciddi zehirlenmeyi düşündürür. Spesifik antidot deferoksamindir.",Demir toksisitesinde ciddi asidoz/şok varsa deferoksamin düşünülür.,Basit gastroenteritte toksik doz öyküsü ve yüksek serum demiri yoktur.,Deferoksamin; Anyon açıklıklı metabolik asidoz; Serum demiri,41,"Ağır demir toksisitesinde tekrarlayan kusma, letarji, şok bulguları, anyon açıklıklı metabolik asidoz ve yüksek serum demirini değerlendirerek spesifik antidotu seçme. || Bu çocukta demir tabletine erişim öyküsü, alımdan birkaç saat sonra tekrarlayan kusma, letarji, hipotansiyon, uzamış kapiller dolum, anyon açıklıklı metabolik asidoz, radyopak tablet yükü ve serum demirinin 620 µg/dL olması ağır demir toksisitesini gösterir. Aktif kömür demiri etkili bağlamaz; diğer antidotlar farklı toksidromlara aittir. Sistemik toksisite ve yüksek serum demiri varlığında özgül tedavi IV deferoksamin ile şelasyondur; ",low,low
v404-pediatrics-hava-bronkogrami,Hava bronkogramı,Hava bronkogramı,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Akciğer grafisi,P1,Alveoller opaklaştığında hava dolu bronşların grafide belirginleşmesidir.,RDS gibi alveoler hastalıklarda çevre alveol kollabe/opak olduğu için bronş içindeki hava kontrast oluşturur. Klinik bağlama göre pnömoni veya atelektaziyle de ilişkilendirilebilir.,RDS’de retikülogranüler görünümle birlikte hava bronkogramı tanıyı destekler.,Tek başına spesifik değildir; klinik ve diğer grafi bulgularıyla yorumlanır.,Respiratuvar distres sendromu; Retikülogranüler görünüm; Atelektazi,7,Hava bronkogramı || Hava bronkogramı,low,low
v404-pediatrics-retikulogranuler-gorunum,Retikülogranüler görünüm,Retikülogranüler görünüm,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Akciğer grafisi,P1,Neonatal RDS’de yaygın ince granüler opasiteler ve düşük akciğer hacmi paternidir.,Alveoler kollaps ve diffüz atelektazi grafide bu görünümü oluşturur. Prematüre bebekte erken solunum sıkıntısıyla birlikte surfaktan eksikliğini destekler.,Prematüre RDS’de grafide retikülogranüler görünüm ve hava bronkogramları beklenir.,TTN’de hiperinflasyon ve fissürlerde sıvı daha tipiktir; RDS’de düşük hacim ve granüler görünüm ön plandadır.,Respiratuvar distres sendromu; Surfaktan; Hava bronkogramı,3,"29 haftalık prematüre yenidoğanda antenatal steroid kürünün tamamlanmamış olması, doğumdan dakikalar sonra başlayan takipne, inleme, retraksiyon ve oksijen ihtiyacı neonatal respiratuvar distres sendromunu düşündürür. Düşük akciğer hacmi, retikülogranüler görünüm ve hava bronkogramları surfaktan eksikliğine bağlı alveoler kollaps paternini destekler; temel mekanizma tip II pnömosit immatüritesine bağlı yetersiz surfaktan üretimidir. || 29 haftalık prematüre yenidoğanda antenatal steroid kürünün tamamlanmamış olması, doğumdan dakikalar sonra başlayan takipne, inleme, retraksiyon ve oksijen ihtiyacı neonatal respiratuvar distres sendromunu düşündürür. Düşük akciğer hacmi, retikülogranüler görünüm ve hava bronkogramları surfaktan eksikliğine bağlı alveoler kollaps paternini destekler; temel mekanizma tip II pnömosit immatüritesine bağlı yetersiz surfaktan üretimidir.",low,low
