id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples,matchingPriority,answerLeakRisk,ambiguityRisk
v397-physiology-karotis-sinusu,Karotis sinüsü,Karotis sinüsü | carotid sinus | karotid sinüs,Fizyoloji / kardiyovasküler,Baroreseptör bölgesi,P0,İnternal karotis başlangıcında arter basıncını algılayan baroreseptörlerin bulunduğu bölgedir.,Karotis sinüsü gerilimi artınca afferent sinyal glossofaringeal sinirle beyin sapına iletilir; sempatik tonus azalır ve vagal tonus artar.,Kan basıncı ani artarsa karotis sinüsü barorefleksi kalp hızını ve sempatik tonusu azaltır.,Karotis cisimciği kemoreseptördür; karotis sinüsü baroreseptördür.,Baroreseptör refleksi | Glossofaringeal sinir | Vagal tonus | Ortalama arter basıncı,26,"[Physiology Case v185-new-206-ani-kan-basinci-yukselmesi] diagnosis.explanation: Karotis sinüsündeki mekanoreseptörlerin gerilimi arttığında afferent ateşleme artar ve medüller merkezler bunu arter basıncı artışı gibi yorumlar. Bu sinyal vagal kardiyak çıkışı artırırken sempatik kardiyak ve vasküler çıkışı azaltır; sonuç kalp hızında ve kontraktilitede azalma, periferik dirençte düşme ve akut basınç tamponlamasıdır. Olayın saniyeler içinde ortaya… || [Physiology Case v185-new-206-ani-kan-basinci-yukselmesi] diagnosis.answerFeedback.summary: Karotis sinüsündeki mekanoreseptörlerin gerilimi arttığında afferent ateşleme artar ve medüller merkezler bunu arter basıncı artışı gibi yorumlar. Bu sinyal vagal kardiyak çıkışı artırırken sempatik kardiyak ve vasküler çıkışı azaltır; sonuç kalp hızında ve kontraktilitede azalma, periferik dirençte düşme ve akut basınç tamponlamasıdır. Olayın saniyeler iç…",98,low,low
v397-physiology-lokal-metabolik-vazodilatasyon,Lokal metabolik vazodilatasyon,Lokal metabolik vazodilatasyon | metabolik vazodilatasyon | local metabolic vasodilation | aktif hiperemi,Fizyoloji / kardiyovasküler,Doku kan akımı,P0,Metabolik aktivitesi artan dokuda lokal maddelerle arteriol dilatasyonu ve kan akımının artmasıdır.,"Egzersiz yapan kasta CO₂, H⁺, K⁺, adenozin ve düşük O₂ gibi yerel sinyaller arteriolleri genişletir. Bu mekanizma kan akımını aktif dokuya yönlendirir.",Egzersizde çalışan kasta kan akımı lokal metabolik vazodilatasyonla artar.,Sistemik sempatik etki genel damar tonusunu artırabilir; çalışan kasta lokal metabolik sinyaller baskın gelebilir.,Aktif hiperemi | Adenozin | Arteriyol | Total periferik direnç,6,"[Physiology Case v174-new-097-egzersizde-bolgesel-kan-akimi-artisi] diagnosis.explanation: Egzersizde kas metabolizması arttığında direnç damarlarının çevresindeki kimyasal ortam değişir ve arteriol düz kası gevşemeye eğilim gösterir. Arterioler direnç azaldığı için aynı sistemik basınç düzeyinde çalışan kasın kan akımı artar. Bu aktif hiperemi yanıtı, oksijen ve substrat sunumunu dokunun artmış metabolik gereksinimiyle eşleştirir. || [Physiology Case v174-new-097-egzersizde-bolgesel-kan-akimi-artisi] diagnosis.answerFeedback.summary: Egzersizde kas metabolizması arttığında direnç damarlarının çevresindeki kimyasal ortam değişir ve arteriol düz kası gevşemeye eğilim gösterir. Arterioler direnç azaldığı için aynı sistemik basınç düzeyinde çalışan kasın kan akımı artar. Bu aktif hiperemi yanıtı, oksijen ve substrat sunumunu dokunun artmış metabolik gereksinimiyle eşleştirir.",98,low,low
v397-physiology-preload,Preload,Preload | ön yük | ventrikül dolum yükü | end-diyastolik hacim yükü,Fizyoloji / kardiyovasküler,Pompa fonksiyonu,P0,Ventrikülün diyastol sonunda kasılmadan önceki gerilme/dolum düzeyidir.,Preload genellikle venöz dönüş ve diyastol sonu hacimle ilişkilidir. Frank-Starling mekanizmasında preload artışı uygun sınırlar içinde atım hacmini artırır.,Preload dolumdur; artarsa Frank-Starling ile atım hacmi artabilir.,Afterload ejeksiyon direncidir; preload ile karıştırılmamalıdır.,Frank-Starling mekanizması | Atım hacmi | Venöz dönüş | EDV,108,"[Physiology Case v178-new-131-efor-dispnesi-ve-periferik-odem] clinicalFocus: Kalp yetmezliğinde preload artışı, Frank-Starling yanıtı ve yüksek dolum basıncına bağlı konjesyon ilişkisini yorumlama. || [Physiology Case v178-new-131-efor-dispnesi-ve-periferik-odem] diagnosis.options[1]: Venöz dönüş azalınca ön yükün düşmesi ve atım hacminin refleks olarak artması",98,low,low
v397-physiology-sa-dugumu-aksiyon-potansiyeli,SA düğümü aksiyon potansiyeli,SA düğümü aksiyon potansiyeli | SA nodu aksiyon potansiyeli | sinoatriyal düğüm aksiyon potansiyeli | pacemaker action potential,Fizyoloji / kardiyovasküler,Kardiyak elektrofizyoloji,P0,Sinüs düğümü hücrelerinin spontan faz 4 depolarizasyonu ile ritim üreten aksiyon potansiyelidir.,"SA düğümünde hızlı Na⁺ kanalı yerine yavaş diyastolik depolarizasyon, funny current ve L tipi Ca²⁺ kanalları önemlidir. Bu yapı kalbin doğal pacemaker davranışını açıklar.",SA düğümünde faz 0 esas olarak L tipi Ca²⁺ girişiyle olur; hızlı Na⁺ kanalı ventrikül miyositindeki gibi baskın değildir.,Ventrikül aksiyon potansiyeli plateau ve hızlı Na⁺ faz 0 ile; SA düğümü spontan faz 4 ile ayrılır.,Funny current | L tipi kalsiyum kanalı | Faz 4 depolarizasyon | Sinüs ritmi,14,[Physiology Case ai-spot-vakasiz-secki-064-sa-dugumu-aksiyon-potansiyeli-l-tipi-kalsiyum] topic: SA düğümü aksiyon potansiyelinin iyonik temelini ventrikül miyositinden ayırt edeb || [Physiology Case ai-spot-vakasiz-secki-064-sa-dugumu-aksiyon-potansiyeli-l-tipi-kalsiyum] clinicalFocus: SA düğümü aksiyon potansiyelinin iyonik temelini ventrikül miyositinden ayırt edeb,98,low,low
v397-physiology-aksiyon-potansiyeli,Aksiyon potansiyeli,Aksiyon potansiyeli | action potential | sinir aksiyon potansiyeli,Fizyoloji / nörofizyoloji,Membran uyarılabilirliği,P0,Membran potansiyelinin eşik aşılınca hızlı ve kendini sürdüren şekilde değişmesidir.,Nöronda hızlı depolarizasyon genellikle voltaj kapılı Na⁺ kanallarının açılmasıyla başlar; ardından K⁺ çıkışı repolarizasyonu sağlar. Bu olay ya hep ya hiç kuralıyla ilerler.,Eşik aşılırsa aksiyon potansiyeli tümüyle oluşur; şiddet frekansla kodlanır.,Dereceli potansiyel genliği değişebilir; aksiyon potansiyeli eşik sonrası ya hep ya hiç yanıtıdır.,Depolarizasyon | Repolarizasyon | Eşik potansiyeli | Refrakter periyot,45,[Physiology Case ai-spot-vakasiz-secki-064-sa-dugumu-aksiyon-potansiyeli-l-tipi-kalsiyum] topic: SA düğümü aksiyon potansiyelinin iyonik temelini ventrikül miyositinden ayırt edeb || [Physiology Case ai-spot-vakasiz-secki-064-sa-dugumu-aksiyon-potansiyeli-l-tipi-kalsiyum] clinicalFocus: SA düğümü aksiyon potansiyelinin iyonik temelini ventrikül miyositinden ayırt edeb,98,low,low
v397-physiology-kas-igcigi,Kas iğciği,Kas iğciği | muscle spindle | intrafüzal kas lifi | kas iğciği reseptörü,Fizyoloji / nöromüsküler,Propriyosepsiyon,P0,Kasın uzunluğunu ve gerilme hızını algılayan intrafüzal duyu reseptörüdür.,Kas gerildiğinde Ia afferent lifler omuriliğe sinyal taşır ve aynı kasın alfa motor nöronunu uyararak gerilme refleksini oluşturur. Gama motor nöronlar kas iğciği duyarlılığını ayarlar.,Derin tendon refleksi kas iğciği-Ia afferent-alfa motor nöron arkıyla açıklanır.,Golgi tendon organı kas gerilimini/tendon gerimini izler; kas iğciği kas uzunluğunu izler.,Ia afferent lif | Alfa motor nöron | Monosinaptik gerilme refleksi | Gama motor nöron,148,[Physiology Case ai-spot-vakasiz-secki-204] topic: Kas iğciği ve gerilme refleksi || [Physiology Case ai-spot-vakasiz-secki-204] clinicalFocus: Kas iğciği ve gerilme refleksi,98,low,low
v397-physiology-monosinaptik-gerilme-refleksi,Monosinaptik gerilme refleksi,Monosinaptik gerilme refleksi | stretch reflex | myotatic reflex | derin tendon refleksi,Fizyoloji / nöromüsküler,Refleks fizyolojisi,P0,Kasın gerilmesine karşı aynı kasın hızlı kasılmasıyla sonuçlanan tek sinapslı refleks arkıdır.,"Kas iğciği gerilmeyi algılar, Ia afferent lif omuriliğe gider ve alfa motor nöronu doğrudan uyarır. Klinik derin tendon refleksleri bu mekanizmayla değerlendirilir.",Patella refleksi klasik monosinaptik gerilme refleksidir.,Çekilme refleksi ağrılı uyarıya polisinaptik yanıt verir; gerilme refleksi monosinaptiktir.,Kas iğciği | Ia afferent lif | Alfa motor nöron | Derin tendon refleksi,0,,98,low,low
v397-physiology-aquaporin-2,Aquaporin-2,Aquaporin-2 | AQP2 | aquaporin 2 | akuaporin-2,Fizyoloji / renal,Su kanalı,P0,Toplayıcı kanal principal hücre apikal membranına yerleşerek su geçirgenliğini artıran kanaldır.,ADH varlığında AQP2 apikal membrana taşınır ve medüller gradyent boyunca su geri emilir. ADH yokluğunda kanal sayısı azalır ve seyreltik idrar oluşur.,ADH sorusunda böbrek efektörü çoğunlukla aquaporin-2’dir.,ENaC sodyum; AQP2 su geri emilimini temsil eder.,ADH | V2 reseptörü | Toplayıcı kanal | Medüller osmotik gradyent,109,"[Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] learningTarget: Toplayıcı kanal principal hücrelerinde V2 reseptör yanıtı, aquaporin-2 yerleşimi ve dilüsyonel hiponatremi ilişkisini mekanizma düzeyinde açıklama. || [Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] diagnosis.correct: V2 reseptörü aracılığıyla principal hücrelerde aquaporin-2 yerleşiminin artması ve serbest su geri emiliminin sürmesi",98,low,low
v397-physiology-countercurrent-multiplier,Countercurrent multiplier,Countercurrent multiplier | karşı akım çoğaltıcı sistem | countercurrent multiplication | Henle karşı akım sistemi,Fizyoloji / renal,İdrar konsantrasyonu,P0,Henle kulpunun inen ve çıkan kollarının farklı geçirgenlikleriyle medüller osmotik gradyent oluşturmasıdır.,"İnen kol suya geçirgen, kalın çıkan kol tuz geri emilimine yatkındır. Bu düzenleme medullada hiperozmotik ortam yaratır ve ADH varlığında su geri emilimini mümkün kılar.",İdrarı konsantre etmenin zemini medüller osmotik gradyenttir; bunu Henle karşı akım sistemi kurar.,Vasa recta gradyenti korur; Henle kulpu gradyenti oluşturur.,Henle kulpu | Medüller osmotik gradyent | Vasa recta | ADH,34,[Physiology Case ai-spot-vakasiz-secki-158] topic: Karşı akım çoğaltıcı sistem || [Physiology Case ai-spot-vakasiz-secki-158] clinicalFocus: Karşı akım çoğaltıcı sistem,98,low,low
v397-physiology-enac,ENaC,ENaC | epitelyal sodyum kanalı | epithelial sodium channel | ENaC kanalı,Fizyoloji / renal,Distal sodyum geri emilimi,P0,Toplayıcı kanal principal hücrelerinde sodyum geri emilimini sağlayan apikal kanaldır.,Aldosteron ENaC ve Na⁺/K⁺ ATPaz etkisini artırarak sodyum geri emilimini güçlendirir. Lümendeki negatifleşme K⁺ ve H⁺ atılımını kolaylaştırır.,Aldosteronun principal hücredeki temel efektörlerinden biri ENaC’dir.,AQP2 su kanalıdır; ENaC sodyum kanalıdır.,Aldosteron | Principal hücre | ROMK kanalı | Hipokalemik metabolik alkaloz,200,"[Physiology Case v172-new-072-direncli-hipertansiyon-ve-kas-gucsuzlugu] learningTarget: Kortikal toplayıcı kanalda ENaC aktivasyonu, lümen-negatif potansiyel, potasyum sekresyonu ve alfa-interkale hücre hidrojen sekresyonu ilişkisini açıklama. || [Physiology Case v172-new-072-direncli-hipertansiyon-ve-kas-gucsuzlugu] diagnosis.correct: Kortikal toplayıcı kanalda ENaC aracılı sodyum geri emiliminin artması ve lümen-negatif potansiyelle K⁺/H⁺ sekresyonunun artması",98,low,low
v397-physiology-hipotonik-hiponatremi,Hipotonik hiponatremi,Hipotonik hiponatremi | gerçek hipotonik hiponatremi | hypotonic hyponatremia,Fizyoloji / renal,Osmolalite bozukluğu,P0,Serum sodyum düşüklüğüne düşük serum osmolalitesinin eşlik ettiği gerçek hiponatremi paternidir.,Bu tabloda ilk soru idrarın uygun şekilde seyrelip seyrelmediğidir. İdrar osmolalitesi yüksek kalıyorsa ADH etkisi veya su atılım kusuru düşünülür.,Düşük Na⁺ + düşük serum osmolalitesi gerçek hipotonik hiponatremidir.,Hiperglisemiye bağlı translokasyonel hiponatremide serum osmolalitesi farklı yorumlanır.,Serum osmolalitesi | İdrar osmolalitesi | ADH | İdrar sodyumu,33,[Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] clinicalFocus: Hipotonik hiponatremide serum-idrar osmolalitesi ve idrar sodyumunu birlikte yorumlayarak uygunsuz su geri emilimi paternini ayırt etme. || [Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] investigations[1].summary: Düşük sodyumun düşük serum osmolalitesiyle birlikte olması gerçek hipotonik hiponatremi paternini gösterir; glukoz ve kreatinin değerleri başlıca yalancı/osmotik açıklamaları zayıflatır.,98,low,low
v397-physiology-meduller-osmotik-gradyent,Medüller osmotik gradyent,Medüller osmotik gradyent | medullary osmotic gradient | renal medüller gradyent | medulla hiperozmolaritesi,Fizyoloji / renal,İdrar konsantrasyonu,P0,Korteksten medullaya doğru artan osmolalite farkıdır ve su geri emilimini yönlendirir.,"ADH varlığında toplayıcı kanal suya geçirgen hale gelir; su, medüller osmotik gradyente doğru geri emilir. Gradyent kaybı idrar konsantre etme yeteneğini bozar.",ADH kanalı açar; suyu çeken kuvvet medüller osmotik gradyenttir.,Aquaporin-2 su yolunu sağlar; gradyent yoksa su geri emilimi etkin olmaz.,Countercurrent multiplier | Aquaporin-2 | Toplayıcı kanal | Vasa recta,0,,98,low,low
