id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceFilePath
v400-microbiology-listeriolizin-o,Listeriolizin O,Listeriolizin O | listeriolysin O | LLO,Tıbbi Mikrobiyoloji,Gram pozitif basil / virülans,P0,Listeria monocytogenes’in fagolizozomdan sitoplazmaya kaçmasını sağlayan por oluşturan toksinidir.,Listeriolizin O hücre içi yaşamı mümkün kılar; bakteri fagolizozomdan kaçar ve aktin kuyruğu oluşturarak hücreden hücreye yayılır. Bu yüzden hücresel immünite baskılanınca risk artar.,"Listeria için listeriolizin O kaçış, ActA ise aktin temelli hücreden hücreye yayılım ipucudur.",Tetanoz toksini sinaptik inhibisyonu bozar; listeriolizin O fagolizozomal kaçış sağlar.,Listeria monocytogenes | ActA proteini | Zorunlu intraselüler bakteri,188,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-tumpling-motility,Tumpling motility,Tumpling motility | tumbling motility | takla hareketi,Tıbbi Mikrobiyoloji,Laboratuvar tanı bulgusu,P1,Listeria monocytogenes’in oda sıcaklığında görülebilen karakteristik hareket paternidir.,"Takla tarzı hareket Listeria için klasik mikrobiyolojik ipucudur. Klinik bağlamda gebeler, yenidoğanlar, yaşlılar ve hücresel immünitesi baskılanmış hastalarda menenjit/sepsis yapabilir.",Takla hareketi + soğukta çoğalma + yaşlı/gebede menenjit Listeria’yı düşündürür.,Proteus yayılma hareketiyle; Listeria ise takla tarzı motiliteyle akılda tutulur.,Listeria monocytogenes | Soğukta çoğalma | Bakteriyel menenjit,112,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-sogukta-cogalma,Soğukta çoğalma,Soğukta çoğalma | cold enrichment | buzdolabında çoğalma,Tıbbi Mikrobiyoloji,Mikrobiyolojik özellik,P1,Listeria’nın düşük sıcaklıklarda çoğalabilme özelliğidir.,Bu özellik pastörize edilmemiş veya buzdolabında saklanan gıdalarla ilişkili listeriyoz riskini açıklar. Klinik olarak yaşlılarda ve gebelerde gıda kaynaklı menenjit/sepsis bağlamında önemlidir.,Buzdolabı gıdası + yaşlı/gebede menenjit = Listeria düşün.,Campylobacter mikroaerofilik koşul ister; Listeria soğukta çoğalabilmesiyle hatırlanır.,Listeria monocytogenes | Tumpling motility | Gıda kaynaklı enfeksiyon,341,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-difteria-toksini,Difteria toksini,Difteria toksini | diphtheria toxin | Corynebacterium diphtheriae toksini,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P1,EF-2’yi ADP-ribozilleyerek protein sentezini inhibe eden Corynebacterium diphtheriae toksinidir.,Difteria toksini farenkste psödomembran oluşturabilir ve sistemik dolaşıma geçerse miyokardit/nöropati yapabilir. Toksijenite bakterinin kendisinden çok toksin genini taşıyan fajla ilişkilidir.,Boğazda psödomembran + EF-2 inhibisyonu = difteria toksini.,Pseudomonas exotoksin A da EF-2’yi hedefler; difteride psödomembran ve miyokardit vurgusu beklenir.,EF-2 ADP-ribozilasyonu | Korynebakteriyel psödomembran | Toksoid aşı,194,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-ef-2-adp-ribozilasyonu,EF-2 ADP-ribozilasyonu,EF-2 ADP-ribozilasyonu | elongation factor 2 ADP ribosylation | EF2 inhibisyonu,Tıbbi Mikrobiyoloji,Toksin mekanizması,P1,Difteria toksini ve Pseudomonas exotoksin A’nın protein sentezini durdurduğu mekanizmadır.,EF-2 translokasyon basamağı için gereklidir. ADP-ribozilasyon bu faktörü işlevsiz kılar ve hücrede protein sentezi durur.,EF-2 inhibisyonu sorulursa difteria toksini ve Pseudomonas exotoksin A birlikte düşünülür.,Shiga toksini 60S ribozomu hedefler; difteria/Pseudomonas exotoksin A EF-2’yi hedefler.,Difteria toksini | Exotoksin A | Protein sentezi inhibisyonu,98,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-snare-protein-yikimi,SNARE protein yıkımı,SNARE protein yıkımı | SNARE cleavage | sinaptobrevin yıkımı,Tıbbi Mikrobiyoloji,Toksin mekanizması,P1,Bazı klostridial nörotoksinlerin nörotransmitter vezikül salınımını bozduğu moleküler mekanizmadır.,Tetanoz ve botulinum toksinleri SNARE kompleksini hedefler ancak klinik sonuçları farklıdır. Tetanoz inhibitör ara nöron sinyalini keser; botulinum nöromüsküler kavşakta ACh salınımını azaltır.,"Aynı SNARE hedefi farklı yerde etkilenirse tetanoz spastik, botulizm flask paralizi yapar.",Tetanoz merkezi inhibitör nöronları; botulizm periferik nöromüsküler kavşağı etkiler.,Tetanospazmin | Botulinum toksini | Spastik paralizi | Flask paralizi,145,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-spastik-paralizi,Spastik paralizi,Spastik paralizi | spastic paralysis | spastik nöromüsküler tablo,Tıbbi Mikrobiyoloji,Klinik tablo / toksin etkisi,P1,Kas tonusunda artış ve spazmla giden paralizi paternidir.,Tetanozda inhibitör nörotransmitter salınımı baskılandığı için motor aktivite kontrolsüzleşir ve spastik kasılmalar oluşur. Bu patern botulizmin flask paralizisinden ayrılır.,Tetanoz spastik; botulizm flask paralizi yapar.,Flask paralizide kas tonusu azalır; spastik paralizide kas tonusu ve refleks aktivite artar.,Tetanospazmin | Clostridium tetani | Flask paralizi,272,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-flask-paralizi,Flask paralizi,Flask paralizi | flaccid paralysis | gevşek paralizi,Tıbbi Mikrobiyoloji,Klinik tablo / toksin etkisi,P1,Kas tonusu azalmasıyla giden güçsüzlük paternidir.,Botulizmde asetilkolin salınımının azalması nöromüsküler iletimi bozar ve flask paralizi yapar. Benzer patern poliomiyelit veya periferik sinir hastalıklarında da görülebilir.,Botulizm sınavda desendan flask paraliziyle yakalanır.,Tetanoz spastik paralizi yapar; botulizm flask paralizi yapar.,Botulinum toksini | Asetilkolin | Spastik paralizi,205,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-c-difficile-toksin-a-b,C. difficile toksin A/B,C. difficile toksin A/B | Clostridioides difficile toksin A/B | toksin A ve toksin B,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P0,C. difficile’nin kolon mukozasında inflamasyon ve hücre hasarı yapan toksinleridir.,"Toksin A enterotoksik, toksin B sitotoksik etkiyle epitel bütünlüğünü bozar. Antibiyotik sonrası sulu ishal ve psödomembranöz kolit bu toksijenik aktiviteyle açıklanır.",Antibiyotik sonrası ishalde toksin/NAAT pozitifliği C. difficile lehinedir.,Kolonizasyon tek başına hastalık değildir; semptom + toksin kanıtı klinik anlam taşır.,Clostridioides difficile | Psödomembranöz kolit | Dışkı toksin testi,319,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-alfa-toksin,Alfa toksin,Alfa toksin | Clostridium perfringens alfa toksini | lecithinase,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P1,C. perfringens’in membran fosfolipitlerini parçalayan fosfolipaz C toksinidir.,"Alfa toksin miyonekroz, hemoliz ve gazlı gangren patogenezinde önemlidir. Doku yıkımı ve anaerob ortam enfeksiyonun hızla ilerlemesine yol açar.",Gazlı gangrende alfa toksin ve çift zon hemoliz klasik ipuçlarıdır.,Tetanoz toksini nörotoksindir; C. perfringens alfa toksini doku yıkımı yapan fosfolipazdır.,Gazlı gangren | Clostridium perfringens | Çift zon hemoliz,123,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-gazli-gangren,Gazlı gangren,Gazlı gangren | klostridial miyonekroz | gas gangrene,Tıbbi Mikrobiyoloji,Klinik tablo / anaerob enfeksiyon,P1,Kas dokusunda hızla ilerleyen nekroz ve gaz oluşumuyla seyreden klostridial enfeksiyondur.,C. perfringens travma sonrası anaerob dokuda çoğalır; alfa toksin doku yıkımı ve sistemik toksisite oluşturur. Cerrahi debridman ve antibiyotik gecikmemelidir.,Travma sonrası şiddetli ağrı + krepitasyon + anaerob gram pozitif basil = gazlı gangren.,Nekrotizan fasiit fasya boyunca yayılır; gazlı gangren kas miyonekrozu ile öne çıkar.,Alfa toksin | Clostridium perfringens | Anaerob kültür,101,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-gram-negatif-diplokok,Gram negatif diplokok,Gram negatif diplokok | gram-negative diplococcus | gram negatif kahve çekirdeği diplokok,Tıbbi Mikrobiyoloji,Morfoloji / laboratuvar,P0,Neisseria türlerini düşündüren çiftler halinde gram negatif kok morfolojisidir.,Meningokok ve gonokok mikroskopide gram negatif diplokok olarak görülür. Klinik bağlam menenjit-sepsis veya üretrit-servisit ayrımında belirleyicidir.,Peteşi + menenjit + gram negatif diplokok = N. meningitidis; üretrit + PMN içi diplokok = N. gonorrhoeae.,Streptococcus pneumoniae gram pozitif lancet şeklinde diplokoktur.,Neisseria meningitidis | Neisseria gonorrhoeae | IgA proteaz,227,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-meningokok-kapsulu,Meningokok kapsülü,Meningokok kapsülü | Neisseria meningitidis kapsülü | meningococcal capsule,Tıbbi Mikrobiyoloji,Virülans / kapsül,P1,N. meningitidis’in invazyon ve kompleman kaçışında önemli polisakkarit kapsülüdür.,Kapsül fagositoza direnç sağlar ve meningokok aşılarının temel hedeflerinden biridir. Terminal kompleman eksikliklerinde kapsüllü Neisseria enfeksiyonları tekrarlayabilir.,Tekrarlayan meningokok enfeksiyonu C5-C9 eksikliğini düşündürür.,Gonokok belirgin kapsül yerine antijenik değişkenlik ve piliyle daha çok sorulur.,Neisseria meningitidis | C5-C9 eksikliği | Konjuge aşı,320,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-c5-c9-eksikligi,C5-C9 eksikliği,C5-C9 eksikliği | terminal kompleman eksikliği | MAC eksikliği,Tıbbi Mikrobiyoloji,İmmünoloji / enfeksiyon yatkınlığı,P0,Membran atak kompleksi oluşumunu bozan terminal kompleman eksikliğidir.,C5-C9 eksikliği özellikle Neisseria türleriyle tekrarlayan invaziv enfeksiyon riskini artırır. Çünkü Neisseria öldürülmesinde terminal kompleman aracılı lizis önemlidir.,Tekrarlayan meningokok/gonokok enfeksiyonu terminal kompleman eksikliğini düşündürür.,C3 eksikliği çok daha geniş piyojenik enfeksiyon yatkınlığı yapar; C5-C9 eksikliği Neisseria ile daha özeldir.,Neisseria meningitidis | Membran atak kompleksi | Meningokok kapsülü,78,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-ga-proteaz,IgA proteaz,IgA proteaz | IgA protease,Tıbbi Mikrobiyoloji,Virülans faktörü,P0,Mukozal yüzeyde sekretuar IgA’yı parçalayarak kolonizasyona katkı sağlayan enzimdir.,"Neisseria, S. pneumoniae ve H. influenzae gibi solunum/mukoza patojenlerinde IgA proteazı önemli bir virülans faktörüdür. Bu enzim mukozal antikor savunmasını zayıflatır.",Mukozal kapsüllü solunum patojenlerinde IgA proteaz akılda tutulur.,Kapsül fagositozdan kaçışı; IgA proteaz mukozal antikor savunmasından kaçışı açıklar.,Neisseria | Streptococcus pneumoniae | Haemophilus influenzae,114,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-hib-kapsulu,Hib kapsülü,Hib kapsülü | Haemophilus influenzae tip b kapsülü | PRP kapsülü,Tıbbi Mikrobiyoloji,Virülans / kapsül,P1,H. influenzae tip b’nin invazif hastalıkla ilişkili poliribozilribitol fosfat kapsülüdür.,"PRP kapsülü Hib’in epiglottit, menenjit ve invazif enfeksiyon yapma kapasitesini artırır. Konjuge Hib aşısı bu kapsüler antijene karşı koruyuculuk sağlar.",Hib aşısı PRP kapsülünü hedefleyen konjuge aşı mantığıyla çalışır.,Tiplenemeyen H. influenzae kapsülsüzdür ve daha çok otitis/sinüzit gibi mukozal enfeksiyonlarla ilişkilidir.,Haemophilus influenzae tip b | PRP kapsülü | Konjuge aşı,31,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-adenilat-siklaz-toksini,Adenilat siklaz toksini,Adenilat siklaz toksini | adenylate cyclase toxin,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P1,Bordetella pertussis’in fagosit fonksiyonunu bozan cAMP artırıcı toksinidir.,"Bu toksin fagositlerde cAMP düzeyini artırarak kemotaksi, fagositoz ve oksidatif yanıtı zayıflatır. Böylece boğmaca etkeninin solunum mukozasında tutunması kolaylaşır.","Boğmaca sadece öksürük değil, toksinlerle immün fonksiyon bozulmasıdır.",Pertussis toksini Gi üzerinden sistemik cAMP artışıyla; adenilat siklaz toksini fagosit işlev bozukluğuyla öne çıkar.,Bordetella pertussis | Pertussis toksini | cAMP,100,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-o-antijeni,O antijeni,O antijeni | somatik O antijeni,Tıbbi Mikrobiyoloji,Bakteriyel antijen,P1,Gram negatif LPS’nin dışta kalan polisakkarit antijenik kısmıdır.,O antijeni serotiplendirmede kullanılır ve E. coli O157:H7 gibi adlandırmalarda “O” somatik antijen bilgisini taşır. Bağışıklık ve epidemiyolojik sınıflamada önemlidir.,"EHEC O157:H7’de O somatik antijeni, H flagellar antijeni ifade eder.",H antijeni flagella ile; K antijeni kapsül ile ilişkilidir.,EHEC O157:H7 | H antijeni | K antijeni,10,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-h-antijeni,H antijeni,H antijeni | flagellar H antijeni,Tıbbi Mikrobiyoloji,Bakteriyel antijen,P2,Bakterinin flagellasına ait serolojik antijendir.,H antijeni hareketli gram negatif bakterilerin serotiplendirilmesinde kullanılır. E. coli O157:H7 ifadesindeki H7 flagellar antijeni belirtir.,O157:H7’de H7 flagellar antijendir.,"O antijeni LPS somatik kısmı, K antijeni kapsül yapısıdır.",O antijeni | EHEC O157:H7 | Flagella,11,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-sorbitol-negatif-macconkey,Sorbitol negatif MacConkey,Sorbitol negatif MacConkey | sorbitol MacConkey negatifliği | SMAC sorbitol negatif,Tıbbi Mikrobiyoloji,Laboratuvar tanı bulgusu,P1,EHEC O157:H7’nin sorbitolü fermente etmemesiyle klasik olarak ilişkilendirilen kültür bulgusudur.,Çoğu E. coli sorbitol fermente ederken O157:H7 suşu klasik olarak sorbitol negatif görünür. Kanlı ishal ve HUS riski bağlamında laboratuvar ipucu sağlar.,Kanlı ishal + HUS riski + sorbitol negatif E. coli = EHEC O157:H7.,ETEC sulu gezgin ishali yapar; EHEC kanlı ishal ve HUS riskiyle öne çıkar.,EHEC O157:H7 | Shiga benzeri toksin | HUS,11,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-shiga-benzeri-toksin,Shiga benzeri toksin,Shiga benzeri toksin | Shiga-like toxin | verotoksin | Stx,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P0,EHEC’in 60S ribozomal alt birimi hedefleyerek protein sentezini bozan toksinidir.,Shiga benzeri toksin kolonik epitel ve endotel hasarı yapar; kanlı ishal ve hemolitik üremik sendrom riskini açıklar. Antibiyotik kullanımı toksin salınımını artırabileceği için klasik sınav tuzağıdır.,EHEC’te antibiyotikten kaçınma mantığı Shiga benzeri toksin ve HUS riskidir.,Shigella dysenteriae gerçek Shiga toksini üretir; EHEC Shiga benzeri toksinle sorulur.,EHEC O157:H7 | HUS | 60S ribozom inhibisyonu,58,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-60s-ribozom-inhibisyonu,60S ribozom inhibisyonu,60S ribozom inhibisyonu | 60S ribozomal alt birim inhibisyonu | protein sentezi inhibisyonu,Tıbbi Mikrobiyoloji,Toksin mekanizması,P1,Shiga/Shiga benzeri toksinlerin ökaryotik ribozomu hedefleyerek protein sentezini durdurma mekanizmasıdır.,"Bu mekanizma bağırsak epitel hasarı, kanlı ishal ve endotel hasarıyla HUS gelişimini açıklar. Toksin A alt birimi ribozomal RNA’yı inaktive eder.",Shiga toksini 60S’i; difteria/Pseudomonas exotoksin A EF-2’yi hedefler.,EF-2 ADP-ribozilasyonu başka bir protein sentezi inhibisyon mekanizmasıdır.,Shiga toksini | EHEC | HUS,73,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
