"id","canonicalTerm","oldIssueType","newShortDefinition","newPreAnswerSafeDefinition","newPostAnswerExplanation","newTusPearl","newDifferentialPoint","category","answerLeakRisk"
"definition-quality-v294-tansiyon-pnomotoraks","Tansiyon pnömotoraks","placeholder/generic-filler-definition","Plevral boşlukta basınçlı hava birikimiyle venöz dönüşü azaltıp mediastinal kayma ve obstrüktif şok oluşturabilen acil tablodur.","Plevral basınç artışı ve dolaşım-solunum bozulması riski taşıyan yaşamı tehdit eden toraks acilidir.","Tek yönlü hava kaçağı intratorasik basıncı artırır; hipotansiyon, juguler ven dolgunluğu, solunum sıkıntısı ve trakeal deviasyon görülebilir. Klinik şüphede görüntüleme beklenmeden dekompresyon gerekir.","Tansiyon pnömotoraks klinik tanıdır; hemodinamik bozulma varsa acil iğne dekompresyonu/tüp torakostomi düşünülür.","Basit pnömotoraksta basınç etkisi ve obstrüktif şok beklenmeyebilir; tansiyon pnömotoraks dolaşımı bozar.","Acil / pulmonoloji","medium"
"definition-quality-v294-mcroberts-manevrasi","McRoberts manevrası","placeholder/generic-filler-definition","Omuz distosisinde annenin kalçalarının aşırı fleksiyona getirilerek sakrum-pelvis açısının değiştirilmesini sağlayan manevradır.","Doğum sırasında omuzların takılmasıyla ilişkili mekanik obstetrik sorunda kullanılan noninvaziv pozisyon manevrasıdır.","McRoberts manevrası sakral promontoryum açısını değiştirerek anterior omuzun kurtulmasına yardımcı olur; sıklıkla suprapubik bası ile birlikte uygulanır.","Omuz distosisinde fundal bası yapılmaz; McRoberts manevrası ve suprapubik bası ilk güvenli yaklaşımlar arasındadır.","Suprapubik bası fetal omzu döndürmeye yardım eder; fundal bası impaksiyonu artırabileceği için önerilmez.","Obstetrik manevra / omuz distosisi","medium"
"definition-quality-v294-igne-dekompresyonu","İğne dekompresyonu","placeholder/generic-filler-definition","Tansiyon pnömotoraksta plevral basıncı hızla azaltmak için göğüs duvarından iğne veya kateterle hava boşaltma girişimidir.","Plevral basınç artışına bağlı akut solunum-dolaşım bozukluğunu geçici olarak rahatlatmaya yönelik acil girişimdir.","İğne dekompresyonu hızlı rahatlama sağlar ancak kalıcı tedavi genellikle tüp torakostomidir; klinik şüphe kuvvetliyse görüntüleme beklenmeyebilir.","Tansiyon pnömotoraks şüphesinde hemodinamik bozulma varsa görüntüleme beklemeden dekompresyon önceliklidir.","İğne dekompresyonu geçici acil rahatlatma; tüp torakostomi kalıcı drenaj sağlar.","Acil girişim / toraks","medium"
"definition-quality-v294-status-epileptikus","Status epileptikus","placeholder/generic-filler-definition","Uzamış nöbet aktivitesi veya bilinç tam düzelmeden tekrarlayan nöbetlerle karakterize nörolojik acildir.","Süresi ve tekrarlama paterni nedeniyle hızlı nörolojik değerlendirme ve tedavi gerektiren nöbet tablosudur.","Uzayan nöbet nöronal hasar, hipoksi, aspirasyon ve metabolik bozulma riskini artırır; hızlı benzodiazepin tedavisi ve altta yatan nedenin düzeltilmesi esastır.","Status epileptikusta hızlı nöbet kontrolü için ilk basamak benzodiazepindir; kalıcı kontrol için ikinci basamak antiepileptik eklenir.","Tek kısa nöbetten farklı olarak status epileptikus süreklilik/tekrarlama nedeniyle acil tedavi gerektirir.","Nöroloji / acil","medium"
"definition-quality-v294-malign-hipertermi","Malign hipertermi","placeholder/generic-filler-definition","Genetik yatkın bireylerde volatil anestezikler veya suksinilkolin sonrası gelişen hipermetabolik kas krizidir.","Anestezi ilişkili tetikleyicilerle ortaya çıkabilen, kas metabolizması ve ısı üretimi bozukluğu içeren acil tablodur.","RYR1 ilişkili kalsiyum salınım artışı kas rijiditesi, hiperkarbi, asidoz, hiperkalemi ve hipertermiye yol açar; tedavide dantrolen kullanılır.","Volatil anestezik/suksinilkolin sonrası kas rijiditesi + hipertermi + asidoz/hiperkalemi malign hipertermi lehinedir; dantrolen verilir.","Nöroleptik malign sendrom dopamin blokajı ve daha yavaş seyirle; malign hipertermi anestezi tetikleyicisiyle ilişkilidir.","Anestezi / farmakogenetik acil","medium"
"definition-quality-v294-reynolds-pentadi","Reynolds pentadı","placeholder/generic-filler-definition","Charcot triadına hipotansiyon ve mental durum değişikliğinin eklenmesiyle tanımlanan ağır akut kolanjit bulgu setidir.","Safra yolu enfeksiyonunda sistemik dolaşım ve bilinç etkilenimini de içeren ağır klinik bulgu kombinasyonudur.","Ateş, sarılık ve sağ üst kadran ağrısına hipotansiyon ve konfüzyon eklenmesi sepsis/ağır kolanjit riskini gösterir; antibiyotik ve biliyer drenaj gecikmemelidir.","Charcot triadı kolanjiti; Reynolds pentadı ağır/septik kolanjiti düşündürür.","Charcot triadı üç bulgudan oluşur; Reynolds pentadı sistemik şok ve mental durum değişikliği eklenmiş ağır formdur.","Gastroenteroloji / ağır kolanjit bulgusu","medium"
"definition-quality-v294-ablatio-plasenta","Ablatio plasenta","placeholder/generic-filler-definition","Plasentanın doğumdan önce uterin duvardan erken ayrılmasıdır; ağrılı vajinal kanama, uterus hassasiyeti ve fetal distresle seyredebilir.","Gebeliğin geç döneminde plasentanın uterusa tutunmasıyla ilgili kanama ve fetal-maternal risk oluşturan obstetrik tablodur.","Plasental ayrılma uteroplasental perfüzyonu bozar; hipertansiyon, travma ve kokain risk faktörleri arasındadır. Ağrılı kanama ve hassas/sert uterus tipiktir.","Ağrılı vajinal kanama + uterus hassasiyeti/sertliği ablatio plasentayı; ağrısız kanama plasenta previayı düşündürür.","Plasenta previa genellikle ağrısız kanama yapar; ablatio plasenta ağrı, uterin hassasiyet ve fetal distresle öne çıkar.","Kadın doğum / obstetrik kanama","medium"
"definition-quality-v294-ektopik-gebelik","Ektopik gebelik","placeholder/generic-filler-definition","Gebeliğin uterin kavite dışında, en sık fallop tüpünde yerleşmesidir.","Gebelik dokusunun normal uterin kavite dışında yerleşmesiyle ilişkili erken gebelik komplikasyonudur.","Rüptür gelişirse intraabdominal kanama ve şok oluşturabilir. Amenore, alt karın ağrısı, vajinal kanama ve pozitif β-hCG bağlamında transvajinal USG ile değerlendirilir.","Pozitif β-hCG + uterin kavitede gebelik görülmemesi + karın ağrısı/vajinal kanama ektopik gebelik açısından uyarıcıdır.","Spontan abortusta gebelik uterin kavite içindedir; ektopik gebelikte ekstrauterin yerleşim ve rüptür riski vardır.","Kadın doğum / erken gebelik acili","medium"
"definition-quality-v294-laringeal-odem","Laringeal ödem","placeholder/generic-filler-definition","Larinks mukozasında şişlik gelişerek üst hava yolu darlığı, stridor ve solunum yetmezliği riski oluşturabilen durumdur.","Üst hava yolunda şişlik ve hava geçişinde daralma riskiyle ilişkili acil solunum bulgusudur.","Anafilaksi, inhalasyon hasarı, enfeksiyon veya anjiyoödemle gelişebilir; ses kısıklığı ve stridor varsa erken hava yolu güvenliği planlanmalıdır.","Stridor üst hava yolu darlığını gösterir; laringeal ödem şüphesinde hava yolu yönetimi önceliklidir.","Wheezing alt hava yolu daralmasını; stridor ve ses kısıklığı üst hava yolu problemini düşündürür.","Acil / üst hava yolu","medium"
"definition-quality-v294-akut-kolanjit","Akut kolanjit","placeholder/generic-filler-definition","Safra yolu obstrüksiyonu zemininde gelişen, ateş, sarılık ve sağ üst kadran ağrısıyla seyredebilən bakteriyel safra yolu enfeksiyonudur.","Safra yollarında enfeksiyon ve akım bozukluğu ile ilişkili, sistemik bulgular oluşturabilen klinik tablodur.","Obstrüksiyon bakteriyel çoğalmayı ve basıncı artırır; ağır olguda sepsis gelişebilir. Tedavide antibiyotik ve gerekirse ERCP ile biliyer drenaj gerekir.","Charcot triadı ateş + sarılık + sağ üst kadran ağrısıdır; hipotansiyon/konfüzyon eklenirse Reynolds pentadı ağır kolanjiti gösterir.","Akut kolesistit safra kesesi inflamasyonudur; kolanjit safra yolları enfeksiyonu ve sarılık/sepsis riskiyle öne çıkar.","Gastroenteroloji / safra yolu enfeksiyonu","medium"
"definition-quality-v294-tromboliz","Tromboliz","placeholder/generic-filler-definition","Fibrin pıhtısını farmakolojik olarak parçalayarak damar açıklığını yeniden sağlamayı hedefleyen tedavi yaklaşımıdır.","Tıkayıcı pıhtı varlığında damar açıklığını ilaçla geri kazandırmayı hedefleyen tedavi kavramıdır.","İskemik inme, masif pulmoner emboli veya STEMI gibi seçilmiş durumlarda zaman penceresi, kanama riski ve kontrendikasyonlar değerlendirilerek uygulanır.","Trombolizde zaman penceresi ve kanama kontrendikasyonları kritik belirleyicidir.","Trombektomi pıhtının mekanik çıkarılmasıdır; tromboliz pıhtının farmakolojik eritilmesidir.","Tedavi yaklaşımı / damar tıkanıklığı","medium"
"definition-quality-v294-eklampsi","Eklampsi","placeholder/generic-filler-definition","Preeklampsi zemininde gebelikte veya postpartum dönemde gelişen, başka bir nörolojik nedenle açıklanamayan jeneralize nöbettir.","Gebelik veya postpartum dönemde hipertansif hastalıklarla ilişkili ciddi nörolojik komplikasyonu ifade eder.","Eklampside endotel disfonksiyonu ve serebral irritabilite nöbet riskini artırır; magnezyum sülfat nöbet tedavisi/profilaksisinde temel ilaçtır ve anne stabilizasyonu sonrası doğum planlanır.","Preeklamptik hastada nöbet gelişirse eklampsi düşünülür; nöbet profilaksisi ve tedavisinde ilk tercih magnezyum sülfattır.","Epilepsi, intrakraniyal kanama ve metabolik nedenler ayırıcı tanıdadır; hipertansiyon/proteinüri veya organ bulguları obstetrik acil lehinedir.","Kadın doğum / obstetrik acil","medium"
"definition-quality-v294-rebound","Rebound","placeholder/generic-filler-definition","Karın palpasyonunda bası kaldırıldığında ağrının artmasıdır; peritoneal irritasyonu düşündüren muayene bulgusudur.","Karın muayenesinde periton duyarlılığını değerlendiren bir hassasiyet bulgusudur.","İnflame veya irritasyon altındaki periton ani gerilmeye duyarlı hale gelir; rebound, defans ve rijidite ile birlikte akut batında cerrahi patoloji olasılığını artırır.","Akut karın ağrısında rebound ve defans peritoneal irritasyon bulgusu olarak cerrahi aciliyet açısından önemlidir.","Yüzeyel palpasyon hassasiyeti nonspesifik olabilir; rebound basının kaldırılmasıyla artan ağrıyı ifade eder.","Fizik muayene bulgusu / akut batın","medium"
"definition-quality-v294-akt","Akt","placeholder/generic-filler-definition","PI3K yolu downstream’inde aktive olan, hücre sağkalımı, metabolizma ve büyüme sinyallerini destekleyen serin/treonin kinazdır.","Hücre içi sağkalım ve metabolik sinyal iletiminde görev alan protein kinazdır.","PI3K tarafından üretilen PIP3, Akt’ın membrana toplanmasını ve aktivasyonunu destekler; Akt mTOR, apoptotik proteinler ve metabolik hedefler üzerinden sağkalım/büyüme yanıtı oluşturur.","PTEN kaybı veya PI3K aktivasyonu Akt sinyalini artırarak antiapoptotik ve proliferatif avantaj sağlayabilir.","ERK/MAPK daha çok proliferasyon ve farklılaşma sinyaliyle; Akt ise sağkalım, metabolizma ve büyüme kontrolüyle ilişkilidir.","Sinyal iletimi / serin-treonin kinaz","medium"
