id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceExamples
v407-small-clerkships-aqp4-igg,AQP4-IgG,AQP4-IgG; anti-AQP4; aquaporin-4 antikoru,Küçük Stajlar,Nöroloji - demiyelinizan antikor,P1,Nöromiyelitis optika spektrum hastalığıyla ilişkili aquaporin-4 antikorudur.,Ağır optik nörit ve uzun segment transvers miyelit varlığında MS’den çok NMO spektrumunu düşündürür. Küçük staj sorularında MS ayırıcı tanısı için kritik bir antikor ipucudur.,Ağır optik nörit + uzun segment miyelit = AQP4-IgG/NMO düşün.,MS daha çok zamanda-mekânda yayılım ve periventriküler plaklarla gider; NMO’da optik sinir-spinal kord aksı baskındır.,Nöromiyelitis optika; Optik nörit; Transvers miyelit,1,"Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme. || Optik nörit || Tek taraflı ani şiddetli göz ağrısı, haleler, bulantı, kornea ödemi, orta dilate ışığa yanıtsız pupil ve semptomatik gözde çok yüksek göz içi basıncı akut açı kapanması glokomunu en iyi açıklar. Retina dekolmanı genellikle ağrısız perde/ışık çakmasıyla, optik nörit göz hareketi ağrısı ve renk solmasıyla, keratit ise epitel defekti-kontakt lens öyküsüyle ayrılır."
v407-small-clerkships-achr-antikoru,AChR antikoru,AChR antikoru; anti-AChR,Küçük Stajlar,Nöroloji - nöromüsküler kavşak,P0,Myasthenia gravis’te postsinaptik asetilkolin reseptörüne karşı gelişen otoantikordur.,"AChR antikoru nöromüsküler iletimi azaltır; pitoz, diplopi, bulber yorgunluk ve gün içinde artan güçsüzlük bu mekanizmayla açıklanır. Duyu muayenesinin normal olması beklenir.",Pitoz/diplopi + yorulmakla artma + AChR antikoru = MG.,Lambert-Eaton presinaptik kalsiyum kanalı hastalığıdır; güç kullanım sonrası artabilir ve otonom bulgular daha belirgindir.,Myasthenia gravis; Pitoz; Bulber yorgunluk,32,"Fluktuan pitoz, diplopi ve bulber yorulabilirlik paternini sabit kraniyal sinir felci, Lambert-Eaton ve motor nöron hastalığından ayırma. || Miyastenia graviste yorulabilir oküler/bulber güçsüzlük, korunmuş duyu-refleks muayenesi, anti-AChR/MuSK serolojisi ve elektrofizyoloji ile tanısal akıl yürütmeyi kurabilme. || Gün içinde artan pitoz ve diplopiye konuşma-çiğneme ile belirginleşen bulber yorgunluk eşlik ediyor."
v407-small-clerkships-bulber-yorgunluk,Bulber yorgunluk,Bulber yorgunluk; bulber güçsüzlük; bulber tutulum,Küçük Stajlar,Nöroloji - nöromüsküler semptom,P1,"Konuşma, çiğneme ve yutma kaslarının kullanım sonrası güçsüzleşmesidir.","Myasthenia gravis’te uzun konuşma, çiğneme veya gün sonu ile belirginleşen bulber yakınmalar tipiktir. Solunum kasları da etkilenirse myastenik kriz riski doğar.",Çiğneme-konuşma ile artan peltekleşme/bulber yorgunluk MG lehinedir.,İnmede bulber bulgu ani ve fokal nörolojik defisitle gelir; MG’de dalgalı ve yorulmakla artan patern vardır.,AChR antikoru; Myasthenia gravis; Myastenik kriz,34,"Piridostigmin myastenia graviste nöromüsküler kavşak iletimini artırmak için kullanılır. Bu hastada dalgalanan oküler-bulber güçsüzlük değil postenfeksiyöz arefleksik yükselen güçsüzlük vardır. || Miyastenia graviste yorulabilir oküler/bulber güçsüzlük, korunmuş duyu-refleks muayenesi, anti-AChR/MuSK serolojisi ve elektrofizyoloji ile tanısal akıl yürütmeyi kurabilme. || Gün içinde artan pitoz ve diplopiye konuşma-çiğneme ile belirginleşen bulber yorgunluk eşlik ediyor."
v407-small-clerkships-repetitif-sinir-stimulasyonu,Repetitif sinir stimülasyonu,Repetitif sinir stimülasyonu; repetitive nerve stimulation; dekremental yanıt,Küçük Stajlar,Nöroloji - elektrofizyoloji,P1,Tekrarlayan sinir uyarılarıyla nöromüsküler iletimdeki azalmayı gösteren testtir.,Myasthenia gravis’te düşük frekanslı repetitif uyarıda dekremental yanıt görülebilir. Klinik ve antikor sonuçlarıyla birlikte kullanılır.,MG’de elektrofizyolojik ipucu dekremental yanıt olabilir.,Lambert-Eaton’da yüksek frekans/egzersiz sonrası inkremental yanıt daha tipiktir.,Myasthenia gravis; AChR antikoru; Lambert-Eaton sendromu,6,"Yüz kasında %15 dekremental yanıt || ALS ilerleyici üst-alt motor nöron bulguları, fasikülasyon, atrofi veya hiperrefleksi ile düşünülür. Saf oküler fluktuasyon, korunmuş duyu ve pozitif AChR antikoru ALS için tipik değildir. || Anti-AChR pozitifliği + RNS’de dekremental yanıt → nöromüsküler kavşak iletim bozukluğunu destekler."
v407-small-clerkships-substantia-nigra-pars-compacta,Substantia nigra pars compacta,Substantia nigra pars compacta; substansiya nigra pars compacta,Küçük Stajlar,Nöroloji - bazal ganglion,P0,Dopaminerjik nöronların yoğun olduğu ve Parkinson’da dejenerasyona uğrayan orta beyin bölgesidir.,"Bu bölgedeki dopamin kaybı bazal ganglion devrelerinde hareket başlatmayı zorlaştırır; bradikinezi, rijidite ve istirahat tremoru gelişir.",Parkinson patolojisi: substantia nigra pars compacta dopaminerjik nöron kaybı.,Serebellar hastalıkta ataksi ve dismetri baskındır; Parkinson’da hipokinetik bazal ganglion paterni vardır.,Parkinson hastalığı; Bradikinezi; Lewy cisimciği,27,"Parkinson hastalığı patofizyolojisi || Parkinson hastalığında substantia nigra pars compacta dopaminerjik nöronlarının dejenerasyonu striatumda dopamin azalmasına yol açar. Bazal ganglion devrelerinde hareketi kolaylaştıran ve baskılayan yolların dengesi bozulur; bradikinezi, rijidite ve tremor gelişir. || Parkinson hastalığındaki temel motor bulguların gelişimini en iyi açıklayan nöropatolojik mekanizma aşağıdakilerden hangisidir?"
v407-small-clerkships-nigrostriatal-dopaminerjik-kayip,Nigrostriatal dopaminerjik kayıp,Nigrostriatal dopaminerjik kayıp; nigrostriatal dopamin kaybı,Küçük Stajlar,Nöroloji - hareket bozukluğu mekanizması,P1,Substantia nigra dopaminerjik nöron kaybının striatuma dopamin girişini azaltmasıdır.,Parkinson motor bulgularının ana fizyopatolojik temelidir. Dopamin azalınca hareket başlatma ve akıcılık bozulur; bradikinezi küçük adımlı yürüyüş ve rijiditeyle birlikte görülür.,Parkinson’da motor paternin özü nigrostriatal dopamin azalmasıdır.,Kortikospinal lezyon spastisite ve piramidal bulgu yapar; nigrostriatal kayıp hipokinetik tablo yapar.,Substantia nigra pars compacta; Bradikinezi; Rijidite,0,"Kas tonusu artmış olsa da yaygın kurşun boru rijiditesi yoktur; pupiller midriyatik ve reaktiftir. || NMS tipik olarak dopamin antagonistleriyle günler içinde gelişir; kurşun boru rijiditesi, hiporefleksi ve belirgin CK yüksekliği daha baskındır. Bu hastada serotonerjik kombinasyon, ishal, hiperrefleksi ve klonus ön plandadır. || Malign hipertermi genellikle inhalasyon anestetikleri veya süksinilkolin sonrası ameliyathane bağlamında ağır hiperkapni, rijidite ve hipertermiyle gelişir. Bu olguda böyle bir tetikleyici yoktur."
v407-small-clerkships-lewy-cisimcigi,Lewy cisimciği,Lewy cisimciği; alfa-sinüklein inklüzyonu,Küçük Stajlar,Nöroloji - nöropatoloji,P1,Parkinson hastalığında görülebilen alfa-sinüklein içeren intranöronal inklüzyondur.,"Lewy cisimciği Parkinson patolojisini destekleyen klasik histolojik ipucudur. Klinik tabloda bradikinezi, rijidite, istirahat tremoru ve postüral instabilite ile ilişkilendirilir.",Parkinson’da patoloji sorulursa alfa-sinüklein/Lewy cisimciği akılda tutulur.,Alzheimer’da beta-amiloid ve tau patolojisi öne çıkar; Parkinson’da alfa-sinüklein ağırlıklıdır.,Parkinson hastalığı; Substantia nigra pars compacta; Alfa-sinüklein,10,"Parkinson hastalığı patofizyolojisi || Parkinson hastalığında substantia nigra pars compacta dopaminerjik nöronlarının dejenerasyonu striatumda dopamin azalmasına yol açar. Bazal ganglion devrelerinde hareketi kolaylaştıran ve baskılayan yolların dengesi bozulur; bradikinezi, rijidite ve tremor gelişir. || Parkinson hastalığındaki temel motor bulguların gelişimini en iyi açıklayan nöropatolojik mekanizma aşağıdakilerden hangisidir?"
v407-small-clerkships-bradikinezi,Bradikinezi,Bradikinezi; hareket yavaşlığı,Küçük Stajlar,Nöroloji - hareket bozukluğu,P1,Hareketlerin yavaşlaması ve başlatılmasının güçleşmesidir.,"Parkinson tanısında temel motor bulgudur; küçük adımlı yürüyüş, azalmış kol salınımı ve yavaş dönüşlerle günlük fonksiyona yansır.",Parkinson’da bradikinezi ana motor eksendir; tremor tek başına yeterli değildir.,Serebellar atakside hareket yavaşlığından çok koordinasyon bozukluğu ve dismetri beklenir.,Parkinson hastalığı; Rijidite; İstirahat tremoru,30,"Kas tonusu artmış olsa da yaygın kurşun boru rijiditesi yoktur; pupiller midriyatik ve reaktiftir. || NMS tipik olarak dopamin antagonistleriyle günler içinde gelişir; kurşun boru rijiditesi, hiporefleksi ve belirgin CK yüksekliği daha baskındır. Bu hastada serotonerjik kombinasyon, ishal, hiperrefleksi ve klonus ön plandadır. || Malign hipertermi genellikle inhalasyon anestetikleri veya süksinilkolin sonrası ameliyathane bağlamında ağır hiperkapni, rijidite ve hipertermiyle gelişir. Bu olguda böyle bir tetikleyici yoktur."
v407-small-clerkships-istirahat-tremoru,İstirahat tremoru,İstirahat tremoru; resting tremor,Küçük Stajlar,Nöroloji - hareket bozukluğu,P1,"Kas gevşekken ortaya çıkan, hareketle azalabilen tremor paternidir.",Parkinson’da tipik olarak elde “para sayar” tarzda istirahat tremoru görülebilir. Esansiyel tremor ise çoğunlukla postüral/aksiyon tremoru şeklindedir.,İstirahatte belirgin tremor Parkinson lehinedir; aksiyon tremoru esansiyel tremoru düşündürür.,Serebellar tremor hedefe yaklaşırken artar; Parkinson tremoru istirahatte baskındır.,Parkinson hastalığı; Bradikinezi; Rijidite,9,"Kas tonusu artmış olsa da yaygın kurşun boru rijiditesi yoktur; pupiller midriyatik ve reaktiftir. || NMS tipik olarak dopamin antagonistleriyle günler içinde gelişir; kurşun boru rijiditesi, hiporefleksi ve belirgin CK yüksekliği daha baskındır. Bu hastada serotonerjik kombinasyon, ishal, hiperrefleksi ve klonus ön plandadır. || Malign hipertermi genellikle inhalasyon anestetikleri veya süksinilkolin sonrası ameliyathane bağlamında ağır hiperkapni, rijidite ve hipertermiyle gelişir. Bu olguda böyle bir tetikleyici yoktur."
v407-small-clerkships-kucuk-adimli-yuruyus,Küçük adımlı yürüyüş,Küçük adımlı yürüyüş; kısa adımlı yürüyüş; shuffling gait,Küçük Stajlar,Nöroloji - yürüyüş paterni,P1,"Kısa adımlarla, yavaş ve çoğu kez kol salınımı azalmış yürüyüş paternidir.",Parkinson’da hipokinetik bazal ganglion bozukluğunun klinik yansımasıdır. Dönüşlerin yavaşlaması ve öne eğik postür eşlik edebilir.,Küçük adımlı yürüyüş + bradikinezi + rijidite Parkinson paternidir.,Manyetik yürüyüş NPH’de ayakları yerden kaldırmakta zorlanma ile ayrılır.,Parkinson hastalığı; Bradikinezi; Manyetik yürüyüş,0,"Parkinson hastalığı patofizyolojisi || Parkinson hastalığında substantia nigra pars compacta dopaminerjik nöronlarının dejenerasyonu striatumda dopamin azalmasına yol açar. Bazal ganglion devrelerinde hareketi kolaylaştıran ve baskılayan yolların dengesi bozulur; bradikinezi, rijidite ve tremor gelişir. || Parkinson hastalığındaki temel motor bulguların gelişimini en iyi açıklayan nöropatolojik mekanizma aşağıdakilerden hangisidir?"
v407-small-clerkships-intrakraniyal-kanama-dislama,İntrakraniyal kanama dışlama,İntrakraniyal kanama dışlama; kanama dışlama; hemorajiyi dışlama,Küçük Stajlar,Nöroloji - inme görüntüleme,P0,Akut inmede reperfüzyon öncesi beyin içi kanamanın hızlıca ekarte edilmesidir.,Tromboliz düşünülmeden önce kanama dışlanmalıdır; bu nedenle ilk basamakta hızlı beyin görüntüleme gerekir. Kanama varsa antitrombotik/reperfüzyon yaklaşımı değişir.,Trombolizden önce ilk güvenlik kapısı intrakraniyal kanamayı dışlamaktır.,Migren veya nöbet taklitçi olabilir; ancak akut fokal defisitte inme dışlanmadan beklenmez.,Akut iskemik inme; Beyin BT; Tromboliz penceresi,39,"Akut iskemik inme şüphesinde hipoglisemi ve stabilite hızla değerlendirilse de reperfüzyon öncesi intrakraniyal kanamayı dışlamak için ilk görüntülemenin kontrastsız beyin BT olduğunu ayırt edebilme. || Hipoglisemi, nöbet ve travma öyküsü klinik olarak geri plandadır; reperfüzyon penceresinde kanama dışlama basamağı belirleyicidir. || Kan örnekleri tedavi güvenliği için eş zamanlı alınır; bu hazırlık ilk kanama dışlama görüntülemesini bekletecek bir basamak olarak kullanılmaz."
v407-small-clerkships-tromboliz-penceresi,Tromboliz penceresi,Tromboliz penceresi; IV tromboliz penceresi; reperfüzyon penceresi,Küçük Stajlar,Nöroloji - reperfüzyon kararı,P1,Akut iskemik inmede uygun hastada IV trombolitik tedavi için zaman sınırını ifade eder.,"Başlangıç zamanının net olması tedavi uygunluğu açısından kritiktir. Klinik, görüntüleme ve kontrendikasyonlar birlikte değerlendirilir; zaman belirsizse risk artar.",Akut inmede “son normal görülme zamanı” tromboliz kararının merkezindedir.,Mekanik trombektomi büyük damar oklüzyonunda daha geniş pencerede düşünülebilir; IV tromboliz ayrı zaman-kriter zinciridir.,Akut iskemik inme; NIHSS; İntrakraniyal kanama dışlama,2,"Akut iskemik inme şüphesinde hipoglisemi ve stabilite hızla değerlendirilse de reperfüzyon öncesi intrakraniyal kanamayı dışlamak için ilk görüntülemenin kontrastsız beyin BT olduğunu ayırt edebilme. || Hipoglisemi, nöbet ve travma öyküsü klinik olarak geri plandadır; reperfüzyon penceresinde kanama dışlama basamağı belirleyicidir. || NIHSS ve fokal nörolojik muayene"
v407-small-clerkships-albuminositolojik-ayrisma,Albüminositolojik ayrışma,Albüminositolojik ayrışma; albuminositolojik dissosiasyon,Küçük Stajlar,Nöroloji - BOS bulgusu,P0,BOS protein yüksekliği varken hücre sayısının belirgin artmaması paternidir.,Guillain-Barré sendromunda kök/sinir inflamasyonuna bağlı tipik destekleyici BOS bulgusudur. Hastalığın erken döneminde normal olabilir; klinik yükselen güçsüzlük ve arefleksi daha belirleyicidir.,"GBS’de BOS ipucu: protein yüksek, hücre az.",Enfeksiyöz menenjitte hücre artışı belirgindir; GBS’de albuminositolojik ayrışma beklenir.,Guillain-Barré sendromu; Arefleksi; IVIG,20,"Postenfeksiyöz yükselen arefleksik güçsüzlükte Guillain-Barre sendromunu tanıyıp solunum izlemiyle birlikte hastalık modifiye edici tedaviyi seçme. || GBS’de IVIG/plazmaferezin hastalık modifiye edici tedavi olduğunu; steroid, yalnız analjezi veya ayaktan antibiyotiğin uygun olmadığını açıklayabilme. || Geçirilmiş gastroenterit sonrası yükselen simetrik güçsüzlük, arefleksi, hafif distal parestezi ve solunum kası riski vardır."
v407-small-clerkships-solunum-kapasitesi-izlemi,Solunum kapasitesi izlemi,Solunum kapasitesi izlemi; FVC izlemi; vital kapasite izlemi,Küçük Stajlar,Nöroloji - GBS güvenlik izlemi,P1,Nöromüsküler güçsüzlükte vital kapasite ve solunum rezervinin izlenmesidir.,"GBS’de yükselen güçsüzlük diyafram ve solunum kaslarına ilerleyebilir. Bu nedenle yalnız motor muayene değil, solunum kapasitesi ve otonom bulgular da izlenmelidir.",GBS’de ölümcül risk solunum yetmezliğidir; FVC izlemi kritik güvenlik kapısıdır.,Basit periferik nöropatide hızlı solunum kası tutulumu beklenmez; GBS’de yoğun bakım ihtiyacı doğabilir.,Guillain-Barré sendromu; Arefleksi; IVIG,5,"Postenfeksiyöz yükselen arefleksik güçsüzlükte Guillain-Barre sendromunu tanıyıp solunum izlemiyle birlikte hastalık modifiye edici tedaviyi seçme. || GBS’de IVIG/plazmaferezin hastalık modifiye edici tedavi olduğunu; steroid, yalnız analjezi veya ayaktan antibiyotiğin uygun olmadığını açıklayabilme. || Geçirilmiş gastroenterit sonrası yükselen simetrik güçsüzlük, arefleksi, hafif distal parestezi ve solunum kası riski vardır."
v407-small-clerkships-intravenoz-immunglobulin,İntravenöz immünglobulin,İntravenöz immünglobulin,Küçük Stajlar,Nöroloji - immün tedavi,P1,GBS gibi immün nöropatilerde hastalık seyrini değiştirebilen damar içi immünglobulin tedavisidir.,Guillain-Barré sendromunda IVIG ve plazmaferez etkili seçeneklerdir; steroidler temel hastalık değiştirici tedavi değildir. Solunum ve otonom izlemle birlikte düşünülür.,GBS’de IVIG veya plazmaferez; steroid beklenen cevap değildir.,Myasthenic krizde de IVIG/plazmaferez kullanılabilir; klinik bağlam ayırımı nöromüsküler kavşak vs poliradikülonöropatidir.,Guillain-Barré sendromu; Plazmaferez; Solunum kapasitesi izlemi,5,"Postenfeksiyöz yükselen arefleksik güçsüzlükte Guillain-Barre sendromunu tanıyıp solunum izlemiyle birlikte hastalık modifiye edici tedaviyi seçme. || GBS’de IVIG/plazmaferezin hastalık modifiye edici tedavi olduğunu; steroid, yalnız analjezi veya ayaktan antibiyotiğin uygun olmadığını açıklayabilme. || FVC/NIF ile solunum kapasitesi izlemi"
v407-small-clerkships-desmoglein-3,Desmoglein 3,Desmoglein 3; Dsg3,Küçük Stajlar,Dermatoloji - adezyon proteini,P0,Keratinositler arası desmozomal adezyonda görevli proteindir.,Pemfigus vulgariste otoantikor hedeflerinden biridir; özellikle mukozal tutulumla ilişkilidir. Adezyon kaybı gevşek bül ve erozyona yol açar.,Pemfigus vulgaris sorusunda hedef protein: desmoglein 3/1.,Hemidesmozom hedefleri büllöz pemfigoidi düşündürür; desmoglein pemfigus lehinedir.,Pemfigus vulgaris; Suprabazal akantoliz; Desmozom,28,"Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || Taze lezyon kenarından alınan biyopside suprabazal akantoliz ve intraepidermal bül izlenmesi keratinositler arası adezyon kaybını gösterir. || Mukozal erozyon, gevşek bül, pozitif Nikolsky bulgusu, suprabazal akantoliz ve intersellüler immünfloresan paternle seyreden bu hastalıkta hedef alınan temel adezyon proteini hangisidir?"
