id,term,aliases,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v402-pharmacology-mannitol,Mannitol,Mannitol | osmotik diüretik mannitol,Diüretikler,P1,Filtratta kalan ve osmotik gradyanla su atılımını artıran osmotik diüretiktir.,Plazma osmolalitesini artırarak beyin ödeminde suyu damar içine çekebilir; ancak kalp yetmezliğinde intravasküler hacmi artırarak pulmoner ödemi kötüleştirebilir.,Mannitol = reseptör değil osmotik gradyan mekanizması.,Furosemid pulmoner ödemde yararlı olabilir; mannitol hacim yükü nedeniyle riskli olabilir.,Osmotik gradyan | Beyin ödemi | Pulmoner ödem,22,Mannitol osmotik diüretiktir ve filtratta su tutar; asetazolamidin ayırıcı hedefi karbonik anhidrazdır. || Mannitol kontrendikasyonu
v402-pharmacology-dpp-4-inhibitoru,DPP-4 inhibitörü,DPP-4 inhibitörü | sitagliptin | vildagliptin,Diyabet ilaçları,P1,Endojen inkretinlerin yıkımını azaltarak GLP-1/GIP etkisini artıran oral antidiyabetik sınıftır.,İnsülin salınımını glukoz bağımlı şekilde destekler ve glukagonu azaltır. Kilo üzerine nötr etkisi ve GLP-1 agonistlerine göre daha mütevazı etkinliğiyle ayrılır.,DPP-4 inhibitörü endojen inkretini korur; GLP-1 agonisti reseptörü doğrudan uyarır.,GLP-1 agonistlerinde kilo kaybı ve gastrointestinal yan etki daha belirgindir.,İnkretin | GLP-1 reseptör agonisti | Glukagon,3,"Yanlıştır. DPP-4 inhibisyonu sitagliptin, linagliptin gibi ilaçların mekanizmasıdır. İnkretin etkisinin uzaması SGLT2 inhibitörlerinin temel etkisi değildir ve öglisemik ketoasidoz mekanizmasını açıklamaz. || Yanlıştır. DPP-4 inhibisyonu sitagliptin, linagliptin gibi ilaçların mekanizmasıdır. İnkretin etkisinin uzaması SGLT2 inhibitörlerinin temel etkisi değildir ve öglisemik ketoasidoz mekanizmasını açıklamaz."
v402-pharmacology-metformin-laktik-asidoz-riski,Metformin laktik asidoz riski,Metformin laktik asidoz riski | metformin ilişkili laktik asidoz,Diyabet ilaçları / Toksisite,P1,Metformin kullanımında özellikle böbrek yetmezliği/hipoksi zemininde laktat birikimi riskidir.,Metformin hepatik glukoneogenezi azaltır ve mitokondriyal solunum zinciri etkileriyle laktat metabolizmasını değiştirebilir. Böbrek fonksiyon bozukluğu veya hipoperfüzyon varsa laktik asidoz riski klinik olarak önem kazanır.,Metformin kontrast/böbrek yetmezliği/hipoksi bağlamında laktik asidoz açısından sorgulanır.,Sülfonilüre toksisitesi hipoglisemi; metformin riski laktik asidoz yönündedir.,Metformin | Laktat yüksekliği | Böbrek yetmezliği,3,Yanlıştır. Mitokondriyal kompleks I inhibisyonu ve laktat birikimi daha çok metformin ilişkili laktik asidoz ile ilişkilendirilir. Burada temel sorun laktat değil keton cisimlerinin artmasıdır. || Yanlıştır. Mitokondriyal kompleks I inhibisyonu ve laktat birikimi daha çok metformin ilişkili laktik asidoz ile ilişkilendirilir. Burada temel sorun laktat değil keton cisimlerinin artmasıdır.
v402-pharmacology-sulfonilure,Sülfonilüre,Sülfonilüre | glibenklamid | glipizid,Diyabet ilaçları,P1,Pankreas beta hücresinde ATP duyarlı K⁺ kanalını kapatarak insülin salınımını artıran ilaç sınıfıdır.,"Kanal kapanınca hücre depolarize olur, kalsiyum girişi artar ve insülin salınır. Glukozdan daha bağımsız etki nedeniyle hipoglisemi ve kilo alımı klasik yan etkilerdir.",Sülfonilüre = insulin salgılatıcı + hipoglisemi + kilo alımı.,GLP-1 agonistleri glukoz bağımlı etki ve kilo kaybı eğilimiyle ayrılır.,ATP duyarlı K kanalı | İnsülin salınımı | Hipoglisemi,4,"Doğru cevap B’dir. SGLT2 inhibitörleri proksimal tübülde glukoz geri emilimini azaltır ve glukozüri oluşturur. Glukoz düzeyi çok yükselmeden kalabildiği için klasik diyabetik ketoasidozdaki belirgin hiperglisemi görülmeyebilir; ancak relatif insülin azalması ve glukagon baskınlığı yağ asidi oksidasyonu ile keton üretimini artırır. Bu nedenle tablo “öglisemik” olabilir. “Mitokondriyal kompleks I inhibisyonu ile laktat birikimini artırması” seçeneği metforminle ilişkili laktik asidoz mantığına, “P || Doğru cevap B’dir. SGLT2 inhibitörleri proksimal tübülde glukoz geri emilimini azaltır ve glukozüri oluşturur. Glukoz düzeyi çok yükselmeden kalabildiği için klasik diyabetik ketoasidozdaki belirgin hiperglisemi görülmeyebilir; ancak relatif insülin azalması ve glukagon baskınlığı yağ asidi oksidasyonu ile keton üretimini artırır. Bu nedenle tablo “öglisemik” olabilir. “Mitokondriyal kompleks I inhibisyonu ile laktat birikimini artırması” seçeneği metforminle ilişkili laktik asidoz mantığına, “P"
v402-pharmacology-tiazolidindion,Tiazolidindion,Tiazolidindion | pioglitazon | PPAR-gamma agonisti,Diyabet ilaçları,P1,PPAR-γ aktivasyonu ile insülin duyarlılığını artıran antidiyabetik ilaç sınıfıdır.,"Adipoz doku ve periferik dokularda gen ekspresyonunu değiştirerek insülin direncini azaltır. Kilo alımı, ödem, kalp yetmezliğini kötüleştirme ve kırık riski sınavda önemlidir.",Pioglitazon = PPAR-γ agonisti + ödem/kalp yetmezliği riski.,Metformin kilo nötr/azaltıcı olabilir; tiazolidindion kilo alımı ve ödemle ayrılır.,PPAR-gamma | İnsülin direnci | Ödem,0,"Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir. || Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir."
v402-pharmacology-dabigatran,Dabigatran,Dabigatran | direkt trombin inhibitörü dabigatran,Antikoagülanlar,P1,Trombini doğrudan inhibe eden oral antikoagülandır.,Fibrinojenin fibrine dönüşümünü engelleyerek antikoagülasyon sağlar. Spesifik geri çevirici ajanı idarucizumabdır; bu eşleşme TUS için yüksek verimlidir.,Dabigatran antidotu idarucizumabdır.,Rivaroksaban/apiksaban faktör Xa inhibitörüdür; dabigatran trombin inhibitörüdür.,Trombin | İdarucizumab | DOAC,22,"Trombinin fibrinojeni fibrine çevirmesini doğrudan inhibe etmek dabigatran veya parenteral direkt trombin inhibitörleriyle ilişkilidir. Klopidogrel fibrin oluşumunu doğrudan değil, primer hemostazdaki trombosit aktivasyonunu baskılar. || Trombinin fibrinojeni fibrine çevirmesini doğrudan inhibe etmek dabigatran veya parenteral direkt trombin inhibitörleriyle ilişkilidir. Klopidogrel fibrin oluşumunu doğrudan değil, primer hemostazdaki trombosit aktivasyonunu baskılar."
v402-pharmacology-faktor-xa-inhibitoru,Faktör Xa inhibitörü,Faktör Xa inhibitörü | rivaroksaban | apiksaban | edoksaban,Antikoagülanlar,P1,Faktör Xa’yı doğrudan inhibe ederek trombin oluşumunu azaltan oral antikoagülan sınıfıdır.,Koagülasyon kaskadında ortak yol üzerindeki Xa baskılanır. Geri çevirme ihtiyacında andexanet alfa eşleşmesi sınavlarda önemlidir.,Rivaroksaban/apiksaban = faktör Xa inhibitörü; antidot andexanet alfa.,Dabigatran trombin inhibitörüdür; faktör Xa inhibitörlerinden hedefi farklıdır.,Faktör Xa | Andexanet alfa | DOAC,17,"Yanlıştır. Faktör Xa’nın doğrudan inhibisyonu rivaroksaban, apiksaban gibi ilaçların mekanizmasıdır. Protamin faktör Xa inhibitörü değildir. || Yanlıştır. Faktör Xa’nın doğrudan inhibisyonu rivaroksaban, apiksaban gibi ilaçların mekanizmasıdır. Protamin faktör Xa inhibitörü değildir."
v402-pharmacology-aspirin-cox-1-inhibisyonu,Aspirin COX-1 inhibisyonu,Aspirin COX-1 inhibisyonu | aspirin trombosit etkisi,Antiplatelet ilaçlar,P1,Aspirinin trombosit COX-1 enzimini irreversibl inhibe ederek TXA2 üretimini azaltmasıdır.,Trombosit çekirdeksiz olduğu için yeni enzim sentezleyemez; etki trombosit ömrü boyunca sürer. Bu nedenle düşük doz aspirin antiplatelet tedavide kullanılır.,Aspirin trombosit etkisi irreversibl COX-1 inhibisyonudur.,Klopidogrel P2Y12 ADP reseptörünü bloke eder; aspirin COX/TXA2 yolunu hedefler.,COX-1 | Tromboksan A2 | Trombosit,0,"Lökotrien aracılı inflamasyon astım veya aspirinle alevlenen solunum hastalığında hışıltı/bronkokonstriksiyonla daha belirgindir. Bu hastada hışıltı, astım öyküsü ve inflamatuvar bulgu yoktur. || Lökotrien aracılı inflamasyon astım veya aspirinle alevlenen solunum hastalığında hışıltı/bronkokonstriksiyonla daha belirgindir. Bu hastada hışıltı, astım öyküsü ve inflamatuvar bulgu yoktur."
v402-pharmacology-traneksamik-asit,Traneksamik asit,Traneksamik asit | TXA,Hemostatik ilaçlar,P1,Plazminojen aktivasyonunu inhibe ederek fibrinolizi azaltan antifibrinolitik ilaçtır.,Travma veya postpartum kanama gibi kanama durumlarında pıhtının yıkımını azaltarak hemostaza destek olabilir. Mekanizma pıhtı yapmaktan çok pıhtının erken çözülmesini azaltmaktır.,Traneksamik asit antifibrinolitiktir; fibrinolizi baskılar.,Alteplaz pıhtı yıkımını artırır; traneksamik asit pıhtı yıkımını azaltır.,Fibrinoliz | Plazminojen | Postpartum kanama,0,
v402-pharmacology-beta-laktam-halkasi,Beta-laktam halkası,Beta-laktam halkası | beta laktam antibiyotik,Antibiyotik farmakolojisi,P1,Penisilin ve sefalosporinlerin bakteri hücre duvarı sentezini bozmasını sağlayan temel yapısal halkadır.,Beta-laktamlar PBP/transpeptidaz enzimlerine bağlanarak peptidoglikan çapraz bağlanmasını engeller. Beta-laktamazlar bu halkayı hidrolize ederek direnç oluşturabilir.,Beta-laktamlar hücre duvarı sentezini PBP üzerinden bozar.,Vankomisin D-Ala-D-Ala’ya bağlanır; beta-laktamlar PBP’yi hedefler.,PBP | Peptidoglikan | Beta-laktamaz,0,Yakın zamanda eklenen bazı antibiyotikler varfarin etkisini artırabilir; bu bilgi INR yüksekliğinin bağlamını güçlendirir ancak acil yaklaşım kanamanın şiddetine göre belirlenir. || Yakın zamanda eklenen bazı antibiyotikler varfarin etkisini artırabilir; bu bilgi INR yüksekliğinin bağlamını güçlendirir ancak acil yaklaşım kanamanın şiddetine göre belirlenir.
v402-pharmacology-beta-laktamaz-inhibitoru,Beta-laktamaz inhibitörü,Beta-laktamaz inhibitörü | klavulanat | tazobaktam | sulbaktam,Antibiyotik farmakolojisi,P1,Beta-laktamaz enzimlerini inhibe ederek eşlik eden beta-laktam antibiyotiği koruyan ajanlardır.,Tek başına ana antibakteriyel etki sınırlıdır; amoksisilin-klavulanat veya piperasilin-tazobaktam gibi kombinasyonlarda direnç enzimini bloke eder.,Klavulanat antibiyotiği değil beta-laktamazı hedefler.,MRSA’da mecA/PBP2a sorunu vardır; klasik beta-laktamaz inhibitörü bu direnci çözmez.,Beta-laktamaz | Beta-laktam halkası | PBP2a,0,Kapalı alanda insektisit maruziyeti → kolinesteraz inhibitörüyle uyumlu toksik maruziyet bağlamı oluşturur. || Kapalı alanda insektisit maruziyeti → kolinesteraz inhibitörüyle uyumlu toksik maruziyet bağlamı oluşturur.
v402-pharmacology-vankomisin-infuzyon-reaksiyonu,Vankomisin infüzyon reaksiyonu,Vankomisin infüzyon reaksiyonu | red man sendromu | kırmızı adam sendromu,Antibiyotik yan etkileri,P1,Vankomisinin hızlı infüzyonuna bağlı histamin aracılı flushing ve hipotansiyon reaksiyonudur.,İmmün IgE aracılı anafilaksiden farklı olarak hız bağımlı anafilaktoid histamin salınımı söz konusudur. İnfüzyonu yavaşlatmak ve antihistaminik vermek gerekebilir.,Vankomisin hızlı verilirse red man sendromu yapabilir.,Anafilakside IgE ve bronkospazm/dolaşım çöküşü öne çıkar; red man sendromu infüzyon hızıyla ilişkilidir.,Vankomisin | Histamin salınımı | Anafilaktoid reaksiyon,6,Kızarma (red man) sendromu. || Kızarma (red man) sendromu.
v402-pharmacology-aminoglikozid-nefrotoksisitesi,Aminoglikozid nefrotoksisitesi,Aminoglikozid nefrotoksisitesi | aminoglikozid böbrek toksisitesi,Antibiyotik yan etkileri,P1,Aminoglikozidlerin proksimal tübül hasarı ile böbrek fonksiyonunu bozabilmesidir.,Gentamisin gibi aminoglikozidler böbrekte birikebilir ve nonoligürik akut böbrek hasarı yapabilir. Ototoksisite ile birlikte sınavlarda doz/izlem gerekliliğini öğretir.,Aminoglikozid = nefrotoksisite + ototoksisite.,Vankomisin de nefrotoksik olabilir; aminoglikozidde ototoksisite ve nöromüsküler blokaj eşlik edebilir.,Aminoglikozid | Ototoksisite | Proksimal tübül,0,"CK, elektrolit ve böbrek fonksiyon izlemi || CK, elektrolit ve böbrek fonksiyon izlemi"
v402-pharmacology-aminoglikozid-ototoksisitesi,Aminoglikozid ototoksisitesi,Aminoglikozid ototoksisitesi | aminoglikozid işitme toksisitesi,Antibiyotik yan etkileri,P1,Aminoglikozidlerin iç kulak saçlı hücre hasarı ile işitme/denge bozukluğu yapabilmesidir.,Ototoksisite bazen geri dönüşsüz olabilir ve loop diüretiklerle risk artabilir. Bu yan etki antibiyotik seçimi ve ilaç düzeyi izleminin neden önemli olduğunu öğretir.,Aminoglikozid + loop diüretik birlikte ototoksisite riskini artırabilir.,Makrolidler QT uzaması; aminoglikozidler oto-nefrotoksisite ile öne çıkar.,Aminoglikozid | Loop diüretik | Saçlı hücre,0,v185-new-220-tedavi-sonrasi-isitme-azalmasi || Tedavi sonrası işitme azalması
v402-pharmacology-makrolid-qt-uzamasi,Makrolid QT uzaması,Makrolid QT uzaması | eritromisin QT uzaması | azitromisin QT riski,Antibiyotik yan etkileri,P1,Makrolidlerin kardiyak repolarizasyonu uzatarak QT uzaması ve torsades riskini artırabilmesidir.,Makrolidler CYP etkileşimi ve hERG kanal etkileriyle bazı hastalarda proaritmik risk oluşturabilir. Eşlik eden hipokalemi veya başka QT uzatan ilaçlar riski artırır.,Makrolid + QT uzaması/torsades riski klasik yan etkidir.,Aminoglikozidler oto-nefrotoksisite; makrolidler QT ve CYP etkileşimiyle ayrılır.,Makrolid | QT uzaması | Torsades de pointes,0,PR uzaması ve dönemsel iletim yavaşlaması || PR uzaması ve dönemsel iletim yavaşlaması
v402-pharmacology-tetrasiklin-dis-kemik-etkisi,Tetrasiklin diş-kemik etkisi,Tetrasiklin diş-kemik etkisi | tetrasiklin diş boyanması,Antibiyotik yan etkileri,P1,Tetrasiklinlerin kalsiyuma bağlanarak gelişen diş ve kemikte birikebilmesidir.,Gebelikte ve küçük çocuklarda diş renklenmesi ve kemik büyümesi üzerine olumsuz etki nedeniyle kullanılmaz. Kalsiyum/metal katyonlarla şelasyon emilimi de azaltır.,Tetrasiklin gebelik ve çocukta diş-kemik etkisi nedeniyle kaçınılır.,Florokinolonlar tendon/kıkırdak; tetrasiklinler diş-kemik ve fotosensitivite ile öne çıkar.,Tetrasiklin | Şelasyon | Fotosensitivite,0,"Glukagonun antidotal etkisini beta-agonizm, M2 blokajı, sodyum kanal tedavisi ve fosfodiesteraz inhibisyonundan ayırabilme. || Beta-bloker toksisitesinde glukagon beta reseptörünü bypass ederek Gs-adenilat siklaz-cAMP yolunu artırır; QRS genişliği baskınsa sodyum kanal etkisi ayrıca değerlendirilir."
v402-pharmacology-florokinolon-tendinopatisi,Florokinolon tendinopatisi,Florokinolon tendinopatisi | kinolon tendon rüptürü,Antibiyotik yan etkileri,P1,Florokinolonların tendon hasarı ve tendon rüptürü riskini artırabilmesidir.,"Yaşlı, steroid kullanan veya böbrek hastalığı olan hastalarda risk daha önemlidir. Ayrıca QT uzaması, disglisemi ve kıkırdak gelişimiyle ilgili uyarılar sınav değerini artırır.",Florokinolon = DNA giraz/topoizomeraz IV + tendon riski.,Tetrasiklin diş-kemik; florokinolon tendon/kıkırdak ve QT riskiyle ayrılır.,Florokinolon | DNA giraz | Topoizomeraz IV,0,"DNA giraz/topoizomeraz IV inhibisyonu florokinolonların mekanizmasıdır ve tendon toksisitesi, QT uzaması veya kıkırdak uyarıları gibi farklı güvenlik başlıklarıyla anılır. Bu vakadaki gentamisin düzeyi, renal birikim ve işitme-vestibüler bulgular aminoglikozid mekanizmasını destekler. || DNA giraz/topoizomeraz IV inhibisyonu florokinolonların mekanizmasıdır ve tendon toksisitesi, QT uzaması veya kıkırdak uyarıları gibi farklı güvenlik başlıklarıyla anılır. Bu vakadaki gentamisin düzeyi, renal birikim ve işitme-vestibüler bulgular aminoglikozid mekanizmasını destekler."
