id,term,aliases,category,subcategory,priority,occurrenceCount,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,sourceFilePath
v398-histoembryo-aortopulmoner-septum,Aortopulmoner septum,Aortopulmoner septum; aorticopulmonary septum; aortikopulmoner septum,Histoloji ve embriyoloji,Kalp embriyolojisi,P0,35,Embriyonik çıkış yolunu aorta ve pulmoner trunkusa ayıran spiral septumdur.,Spiral hizalanma bozulduğunda büyük arter transpozisyonu; ayrılma yetersizliğinde truncus arteriosus gibi tablolar ortaya çıkabilir. Nöral krest katkısı nedeniyle faringeal/kraniofasiyal anomalilerle birlikte sorulabilir.,Aortopulmoner septum soruları çıkış yolu ve siyanoz mantığını test eder.,Septum primum/secundum atriyal septasyonla; aortopulmoner septum çıkış yolu ayrımıyla ilgilidir.,Konotrunkal septasyon; Kardiyak nöral krest; Büyük arter transpozisyonu,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-endokardiyal-yastik,Endokardiyal yastık,Endokardiyal yastık; endocardial cushion; endokardiyal yastıklar,Histoloji ve embriyoloji,Kalp embriyolojisi,P1,13,AV kanal septasyonu ve kapak gelişimine katkı veren mezenkimal yastık yapılardır.,Endokardiyal yastık kusurları atriyoventriküler septal defektlerle ilişkilidir. Down sendromu gibi durumlarda AV kanal defekti sorularında sık ipucudur.,AV septal defekt = endokardiyal yastık; konotrunkal defekt = nöral krest/aortopulmoner septum.,Çıkış yolu siyanozu konotrunkal septasyonla; AV kanal problemi endokardiyal yastıkla ayrılır.,AV septal defekt; Atriyoventriküler kanal; Down sendromu,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-septum-primum,Septum primum,Septum primum; septum primum,Histoloji ve embriyoloji,Atriyal septasyon,P1,24,Embriyonik atriyum içinde ilk gelişen ince atriyal septumdur.,Septum primum ostium primumu kapatırken üst kısmında ostium secundum oluşur. Aşırı rezorpsiyon veya gelişim kusuru ostium secundum tipi ASD ile ilişkilendirilebilir.,Septum primum/secundum dengesi foramen ovale ve ASD sorularının temelidir.,Aortopulmoner septum çıkış yolunu; septum primum atriyumlar arası bölmeyi açıklar.,Septum secundum; Foramen ovale; Ostium secundum ASD,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-septum-secundum,Septum secundum,Septum secundum; septum secundum,Histoloji ve embriyoloji,Atriyal septasyon,P1,14,Septum primumun sağında gelişen ve foramen ovalenin kenarını oluşturan ikinci atriyal septumdur.,Septum secundum foramen ovaleyi tamamen kapatmaz; doğumdan sonra basınç değişimiyle fonksiyonel kapanma olur. Bu yapıdaki yetersizlik patent foramen ovale veya ASD paternleriyle ilişkilendirilebilir.,Septum secundum foramen ovalenin anatomik kapağını değil kenar yapısını oluşturur; kapak işlevini septum primum görür.,Ventriküler septasyon ve çıkış yolu septasyonu farklı embriyolojik süreçlerdir.,Septum primum; Foramen ovale; Patent foramen ovale,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-duktus-venozus,Duktus venozus,Duktus venozus; ductus venosus; venöz kanal,Histoloji ve embriyoloji,Fetal dolaşım,P1,7,Umbilikal venden gelen oksijenli kanın karaciğer sinüzoidlerini kısmen bypass ederek vena cava inferiora geçmesini sağlayan fetal şanttır.,Fetal dolaşımda plasentadan gelen kanın hızlı biçimde kalbe ulaşmasını sağlar. Doğumdan sonra kapanarak ligamentum venosuma dönüşür.,Duktus venozus karaciğeri; duktus arteriozus akciğer dolaşımını bypass eder.,Umbilikal ven oksijenli kan taşır; umblikal arterler oksijeni azalmış kanı plasentaya götürür.,Umbilikal ven; Ligamentum venosum; Fetal dolaşım,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-gercek-divertikul,Gerçek divertikül,Gerçek divertikül; true diverticulum; gerçek divertikül,Histoloji ve embriyoloji,GİS duvar histolojisi,P1,30,Bağırsak duvarının tüm katlarını içeren divertiküldür.,"Meckel divertikülü gerçek divertiküldür; mukoza, submukoza ve muskular tabaka gibi tüm duvar katlarını içerir. Yalancı divertiküller bu tüm katları içermez.",Meckel divertikülü gerçek divertikül olarak sorulabilir.,Kolon divertikülozundaki psödodivertiküller genellikle tüm duvar katlarını içermez.,Meckel divertikülü; Bağırsak duvarı; Yalancı divertikül,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-teknesyum-99m-perteknetat,Teknesyum-99m perteknetat,Teknesyum-99m perteknetat; Tc-99m perteknetat; Meckel sintigrafisi; perteknetat sintigrafisi,Histoloji ve embriyoloji,Nükleer tıp / embriyoloji bağlantısı,P1,20,Ektopik gastrik mukoza tutulumunu gösterebilen sintigrafik ajandır.,"Meckel divertikülünde ektopik gastrik mukoza varsa perteknetat tutulumu görülebilir. Bu test anatomik divertikülü değil, içindeki mide mukozası fonksiyonunu yakalar.",Meckel scan’in hedefi divertikül duvarı değil ektopik gastrik mukozadır.,Kanama odağını gösteren genel görüntüleme ile ektopik mukoza hedefli perteknetat sintigrafisi karıştırılmamalıdır.,Ektopik gastrik mukoza; Meckel divertikülü; Ağrısız alt GİS kanaması,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-omfalomezenterik-fistul,Omfalomezenterik fistül,Omfalomezenterik fistül; vitellin fistül; omfalomezenterik kanal fistülü,Histoloji ve embriyoloji,GİS embriyolojisi,P1,2,Vitellin kanalın tüm uzunluğu boyunca açık kalmasıyla bağırsak lümeni ile umbilikus arasında oluşan bağlantıdır.,Göbekten dışkı veya enterik içerik gelmesi bu kalıntıyı düşündürür. Meckel divertikülü ise kanalın yalnız intestinal ucunun persiste kalmasıyla oluşur.,Göbekten fekal akıntı = omfalomezenterik fistül; ağrısız kanama = Meckel + ektopik mide mukozası.,Urakus fistülü göbekten idrar gelmesiyle ayrılır.,Vitellin kanal; Meckel divertikülü; Urakus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-allantois,Allantois,Allantois; allantois,Histoloji ve embriyoloji,Ürogenital embriyoloji,P1,22,"Yolk sac kökenli, urakus ve mesane apeksi gelişimiyle ilişkili embriyonik uzantıdır.","Allantois kalıntısı urakusa dönüşür; urakus kapanma bozuklukları göbekten idrar gelmesi, urakal kist veya sinüs şeklinde görülebilir. Vitellin kanal kalıntıları ise bağırsak-umbilikus ilişkisi yapar.",Allantois/urakus = mesane-umbilikus; vitellin kanal = bağırsak-umbilikus.,Meckel divertikülü allantois değil vitellin kanal kalıntısıdır.,Urakus; Persistan urakus; Vitellin kanal,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-urakus,Urakus,Urakus; urachus; urakal kanal,Histoloji ve embriyoloji,Ürogenital embriyoloji,P1,32,Mesane apeksi ile umbilikus arasındaki allantois kökenli embriyonik bağlantının kalıntısıdır.,Normalde kapanarak median umblikal ligamente dönüşür. Kapanmazsa göbekten idrar gelmesi veya urakal kist/sinüs oluşabilir.,Göbekten idrar gelmesi urakus; göbekten fekal akıntı omfalomezenterik fistül lehinedir.,Meckel divertikülü urakus değil vitellin kanal kalıntısıdır.,Allantois; Persistan urakus; Median umblikal ligament,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-persistan-urakus,Persistan urakus,Persistan urakus; patent urachus; açık urakus; urakus fistülü,Histoloji ve embriyoloji,Ürogenital embriyoloji,P0,0,Urakus kanalının doğum sonrası açık kalmasıdır.,Mesane ile umbilikus arasında bağlantı sürdüğü için göbekten idrar gelmesi tipiktir. Embriyoloji sorularında vitellin kanal fistülünden akıntının içeriğiyle ayrılır.,Umbilikustan idrar geliyorsa persistan urakus düşün.,Umbilikustan dışkı/enterik içerik gelmesi omfalomezenterik fistülü destekler.,Urakus; Allantois; Median umblikal ligament,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-orta-bagirsak-rotasyonu,Orta bağırsak rotasyonu,Orta bağırsak rotasyonu; midgut rotasyonu; midgut rotation; bağırsak rotasyonu,Histoloji ve embriyoloji,GİS embriyolojisi,P0,7,Orta bağırsağın SMA ekseni etrafında fizyolojik herniasyon ve dönüşle yerleşmesi sürecidir.,Normal rotasyon ve fiksasyon bozulursa malrotasyon ve volvulus gelişebilir. Yenidoğanda safralı kusma bu mekanik-embriyolojik hatayı düşündüren kritik bulgudur.,Safralı kusma + malrotasyon/volvulus sorusunda rotasyon-fiksasyon mekanizması aranır.,Hirschsprung’da temel sorun rotasyon değil enterik ganglion hücresi yokluğudur.,Malrotasyon; Midgut volvulus; Süperior mezenterik arter,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-fizyolojik-umblikal-herniasyon,Fizyolojik umblikal herniasyon,Fizyolojik umblikal herniasyon; fizyolojik herniasyon; physiologic umbilical herniation,Histoloji ve embriyoloji,GİS embriyolojisi,P1,14,Orta bağırsağın erken embriyoda geçici olarak umbilikal kord içine herniye olmasıdır.,"Karın boşluğu küçükken bağırsaklar geçici olarak dışarı çıkar, sonra rotasyon tamamlanarak geri döner. Bu sürecin bozulması rotasyon anomalileri ve karın duvarı defektleriyle ilişkilendirilebilir.",Fizyolojik herniasyon normal ve geçicidir; persiste eden karın duvarı defekti patolojiktir.,Omfalosel membranla kaplı karın duvarı defektidir; gastrosşizis genellikle membransız lateral defekttir.,Orta bağırsak rotasyonu; Omfalosel; Gastrosşizis,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-midgut-volvulus,Midgut volvulus,Midgut volvulus; orta bağırsak volvulusu; midgut volvulus,Histoloji ve embriyoloji,GİS embriyolojisi,P0,4,Malrotasyona bağlı orta bağırsağın mezenter ekseni etrafında dönerek tıkanma ve iskemi oluşturmasıdır.,"Safralı kusma, karın distansiyonu ve hızla kötüleşme acil cerrahi tabloyu düşündürür. Embriyolojik temel rotasyon-fiksasyon kusurudur.",Safralı kusan yenidoğanda volvulus iskemi riski nedeniyle acildir.,Pilor stenozu safrasız fışkırır tarzda kusma yapar; midgut volvulusta kusma sıklıkla safralıdır.,Malrotasyon; Orta bağırsak rotasyonu; Safralı kusma,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-trakeoozofageal-septum,Trakeoözofageal septum,Trakeoözofageal septum; tracheoesophageal septum; trakeoözofageal bölme,Histoloji ve embriyoloji,Solunum-GİS embriyolojisi,P0,29,Ön bağırsağı ventral solunum tüpü ve dorsal özofagusa ayıran embriyonik septumdur.,"Septum gelişimi bozulursa özofagus atrezisi ve trakeoözofageal fistül ortaya çıkabilir. Yenidoğanda beslenmeyle öksürük, siyalore ve mideye ilerlemeyen sonda bu mekanizmayı düşündürür.",Beslenmeyle öksürük/siyanoz + sonda proksimal poşta kıvrılırsa trakeoözofageal anomalidir.,Koanal atrezi nazal hava yolu tıkanıklığı yapar; trakeoözofageal fistül beslenme ve aspirasyonla belirginleşir.,Özofagus atrezisi; Trakeoözofageal fistül; Proksimal poş,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-ozofagus-atrezisi,Özofagus atrezisi,Özofagus atrezisi; esophageal atresia; özofageal atrezi,Histoloji ve embriyoloji,Solunum-GİS embriyolojisi,P0,42,Özofagus lümeninin sürekliliğinin doğumsal olarak kesintiye uğramasıdır.,"Çoğu zaman distal trakeoözofageal fistülle birliktedir. Yenidoğanda aşırı salivasyon, beslenmeyle öksürük/siyanoz ve nazogastrik sondanın mideye ilerlememesi tipiktir.",Sonda proksimal poşta kıvrılırsa özofagus atrezisi akla gelir.,Safralı kusma malrotasyon/duodenal obstrüksiyon; beslenmeyle aspirasyon özofagus atrezisi-fistül lehinedir.,Trakeoözofageal septum; Trakeoözofageal fistül; Proksimal poş,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-trakeoozofageal-fistul,Trakeoözofageal fistül,Trakeoözofageal fistül; TEF; tracheoesophageal fistula; trakeoözofageal fistül,Histoloji ve embriyoloji,Solunum-GİS embriyolojisi,P0,43,Trakea ile özofagus arasında doğumsal anormal bağlantıdır.,"Embriyolojik olarak trakeoözofageal septasyon kusurundan kaynaklanır. Beslenmeyle öksürük, aspirasyon ve karında hava görülmesi fistül varlığını destekler.",Özofagus atrezisi + distal TEF en klasik paternlerden biridir.,İzole özofagus atrezisinde karında hava daha az beklenir; fistül varsa hava mideye geçebilir.,Trakeoözofageal septum; Özofagus atrezisi; Aspirasyon,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-proksimal-pos,Proksimal poş,Proksimal poş; özofageal proksimal poş; proximal pouch,Histoloji ve embriyoloji,Solunum-GİS embriyolojisi,P1,43,Özofagus atrezisinde üst özofagus segmentinin kör sonlanan kısmıdır.,Nazogastrik sonda mideye ilerleyemez ve grafide proksimal poşta kıvrılabilir. Bu bulgu trakeoözofageal septasyon kusurunu destekler.,Sondanın proksimal poşta kıvrılması özofagus atrezisi için çok değerli görüntüleme ipucudur.,Koanal atrezi nazal kateter geçişini etkiler; özofagus atrezisi NG sondanın mideye ilerlemesini engeller.,Özofagus atrezisi; Trakeoözofageal fistül; Trakeoözofageal septum,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-septum-transversum,Septum transversum,Septum transversum; transvers septum; septum transversum,Histoloji ve embriyoloji,Diyafram embriyolojisi,P1,33,Diyaframın santral tendonuna katkı veren erken mezodermal yapıdır.,"Diyafram gelişimi septum transversum, pleuroperitoneal membranlar, dorsal özofagus mezenteri ve vücut duvarı katkılarıyla tamamlanır. Santral tendon sorularında septum transversum öne çıkar.",Diyafram santral tendonu için septum transversum ana ipucudur.,Bochdalek tipi posterolateral defekt daha çok pleuroperitoneal membran kapanmasıyla ilişkilendirilir.,Diyafram santral tendonu; Pleuroperitoneal membran; Konjenital diyafram hernisi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
